Year,Series,Team,Player,Closeout_Game,Closeout_PTS,Other_PTS_mean,Other_G,rel_closeout_PTS
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jalen Brunson,5,45.0,29.5,4,15.5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Dylan Harper,5,25.0,16.25,4,8.75
2026,2026_nba_finals_knicks_vs_spurs,SAS,Victor Wembanyama,5,19.0,27.75,4,-8.75
2026,2026_nba_finals_knicks_vs_spurs,SAS,Julian Champagnie,5,14.0,10.25,4,3.75
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mikal Bridges,5,14.0,9.5,4,4.5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Josh Hart,5,13.0,6.25,4,6.75
2026,2026_nba_finals_knicks_vs_spurs,SAS,Devin Vassell,5,12.0,13.0,4,-1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,OG Anunoby,5,11.0,23.75,4,-12.75
2026,2026_nba_finals_knicks_vs_spurs,SAS,De'Aaron Fox,5,7.0,14.25,4,-7.25
2026,2026_nba_finals_knicks_vs_spurs,SAS,Keldon Johnson,5,7.0,3.75,4,3.25
2026,2026_nba_finals_knicks_vs_spurs,SAS,Stephon Castle,5,6.0,16.75,4,-10.75
2026,2026_nba_finals_knicks_vs_spurs,NYK,Landry Shamet,5,5.0,7.25,4,-2.25
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jordan Clarkson,5,2.0,4.0,3,-2.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Karl-Anthony Towns,5,2.0,15.75,4,-13.75
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mitchell Robinson,5,2.0,4.0,4,-2.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Ariel Hukporti,5,0.0,0.0,1,0.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Carter Bryant,5,0.0,2.25,4,-2.25
2026,2026_nba_finals_knicks_vs_spurs,SAS,Harrison Barnes,2,0.0,0.0,2,0.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jeremy Sochan,5,0.0,0.0,2,0.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jose Alvarado,5,0.0,5.25,4,-5.25
2026,2026_nba_finals_knicks_vs_spurs,SAS,Luke Kornet,5,0.0,0.75,4,-0.75
2026,2026_nba_finals_knicks_vs_spurs,NYK,Miles McBride,5,0.0,2.75,4,-2.75
2025,2025_nba_finals_pacers_vs_thunder,OKC,Shai Gilgeous-Alexander,7,29.0,30.5,6,-1.5
2025,2025_nba_finals_pacers_vs_thunder,IND,Bennedict Mathurin,7,24.0,10.5,6,13.5
2025,2025_nba_finals_pacers_vs_thunder,OKC,Jalen Williams,7,20.0,24.167,6,-4.167
2025,2025_nba_finals_pacers_vs_thunder,OKC,Chet Holmgren,7,18.0,11.333,6,6.667
2025,2025_nba_finals_pacers_vs_thunder,IND,Pascal Siakam,7,16.0,19.833,6,-3.833
2025,2025_nba_finals_pacers_vs_thunder,IND,T.J. McConnell,7,16.0,11.333,6,4.667
2025,2025_nba_finals_pacers_vs_thunder,IND,Andrew Nembhard,7,15.0,11.167,6,3.833
2025,2025_nba_finals_pacers_vs_thunder,OKC,Alex Caruso,7,10.0,10.167,6,-0.167
2025,2025_nba_finals_pacers_vs_thunder,OKC,Cason Wallace,7,10.0,5.333,6,4.667
2025,2025_nba_finals_pacers_vs_thunder,OKC,Luguentz Dort,7,9.0,8.0,6,1.0
2025,2025_nba_finals_pacers_vs_thunder,IND,Tyrese Haliburton,7,9.0,14.833,6,-5.833
2025,2025_nba_finals_pacers_vs_thunder,OKC,Isaiah Hartenstein,7,7.0,5.333,6,1.667
2025,2025_nba_finals_pacers_vs_thunder,IND,Myles Turner,7,6.0,11.333,6,-5.333
2025,2025_nba_finals_pacers_vs_thunder,IND,Aaron Nesmith,7,3.0,10.5,6,-7.5
2025,2025_nba_finals_pacers_vs_thunder,IND,Tony Bradley,7,2.0,3.5,2,-1.5
2025,2025_nba_finals_pacers_vs_thunder,OKC,Aaron Wiggins,7,0.0,6.833,6,-6.833
2025,2025_nba_finals_pacers_vs_thunder,OKC,Ajay Mitchell,7,0.0,1.333,3,-1.333
2025,2025_nba_finals_pacers_vs_thunder,IND,Ben Sheppard,7,0.0,3.333,6,-3.333
2025,2025_nba_finals_pacers_vs_thunder,OKC,Dillon Jones,7,0.0,2.0,2,-2.0
2025,2025_nba_finals_pacers_vs_thunder,OKC,Isaiah Joe,6,0.0,4.8,5,0.0
2025,2025_nba_finals_pacers_vs_thunder,IND,James Johnson,6,0.0,1.0,2,0.0
2025,2025_nba_finals_pacers_vs_thunder,OKC,Jaylin Williams,6,0.0,3.333,3,0.0
2025,2025_nba_finals_pacers_vs_thunder,IND,Johnny Furphy,7,0.0,0.667,3,-0.667
2025,2025_nba_finals_pacers_vs_thunder,OKC,Kenrich Williams,7,0.0,1.167,6,-1.167
2025,2025_nba_finals_pacers_vs_thunder,IND,Obi Toppin,7,0.0,12.833,6,-12.833
2025,2025_nba_finals_pacers_vs_thunder,OKC,Ousmane Dieng,7,0.0,1.5,2,-1.5
2025,2025_nba_finals_pacers_vs_thunder,IND,Thomas Bryant,7,0.0,2.0,5,-2.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jayson Tatum,5,31.0,20.0,4,11.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Luka Dončić,5,28.0,29.5,4,-1.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jaylen Brown,5,21.0,20.75,4,0.25
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jrue Holiday,5,15.0,14.25,4,0.75
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Kyrie Irving,5,15.0,21.0,4,-6.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Derrick White,5,14.0,13.75,4,0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Josh Green,5,14.0,3.25,4,10.75
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Derrick Jones Jr.,5,10.0,5.75,4,4.25
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Al Horford,5,9.0,6.5,4,2.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Sam Hauser,5,8.0,8.25,4,-0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Daniel Gafford,5,6.0,8.5,4,-2.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Kristaps Porziņģis,5,5.0,16.0,2,-11.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Danté Exum,5,4.0,3.75,4,0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,P.J. Washington,5,4.0,12.5,4,-8.5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Jaden Hardy,5,3.0,4.5,4,-1.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Payton Pritchard,5,3.0,3.5,4,-0.5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Dereck Lively II,5,2.0,6.5,4,-4.5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Maxi Kleber,5,2.0,1.75,4,0.25
2024,2024_nba_finals_mavericks_vs_celtics,DAL,A.J. Lawson,5,0.0,2.0,1,-2.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Dwight Powell,5,0.0,0.0,2,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jaden Springer,4,0.0,0.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jordan Walsh,4,0.0,0.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Luke Kornet,5,0.0,1.0,2,-1.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Markieff Morris,4,0.0,3.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Neemias Queta,4,0.0,2.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Olivier-Maxence Prosper,5,0.0,0.0,1,0.0
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Oshae Brissett,5,0.0,3.5,2,-3.5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Svi Mykhailiuk,5,0.0,2.5,2,-2.5
