Year,Series,Team,Player,PTS_mean,PTS_std,PTS_CV,PTS_G
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jalen Brunson,32.6,9.099,0.279,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Victor Wembanyama,26.0,4.95,0.19,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,OG Anunoby,21.2,9.011,0.425,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Dylan Harper,18.0,4.899,0.272,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Stephon Castle,14.6,6.189,0.424,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Karl-Anthony Towns,13.0,7.314,0.563,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,De'Aaron Fox,12.8,6.058,0.473,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Devin Vassell,12.8,3.421,0.267,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Julian Champagnie,11.0,4.472,0.407,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mikal Bridges,10.4,6.877,0.661,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Josh Hart,7.6,6.731,0.886,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Landry Shamet,6.8,5.933,0.872,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Keldon Johnson,4.4,2.408,0.547,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jose Alvarado,4.2,3.347,0.797,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mitchell Robinson,3.6,2.302,0.639,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jordan Clarkson,3.5,4.435,1.267,4
2026,2026_nba_finals_knicks_vs_spurs,NYK,Miles McBride,2.2,3.033,1.379,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Carter Bryant,1.8,2.168,1.204,5
2026,2026_nba_finals_knicks_vs_spurs,SAS,Luke Kornet,0.6,0.894,1.491,5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Ariel Hukporti,0.0,0.0,0.0,2
2026,2026_nba_finals_knicks_vs_spurs,SAS,Harrison Barnes,0.0,0.0,0.0,2
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jeremy Sochan,0.0,0.0,0.0,3
2025,2025_nba_finals_pacers_vs_thunder,OKC,Shai Gilgeous-Alexander,30.286,6.102,0.201,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Jalen Williams,23.571,8.384,0.356,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Pascal Siakam,19.286,4.461,0.231,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Tyrese Haliburton,14.0,5.972,0.427,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Bennedict Mathurin,12.429,9.676,0.779,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Chet Holmgren,12.286,6.075,0.494,7
2025,2025_nba_finals_pacers_vs_thunder,IND,T.J. McConnell,12.0,3.697,0.308,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Andrew Nembhard,11.714,3.729,0.318,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Obi Toppin,11.0,7.616,0.692,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Myles Turner,10.571,4.791,0.453,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Alex Caruso,10.143,7.841,0.773,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Aaron Nesmith,9.429,3.91,0.415,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Luguentz Dort,8.143,4.488,0.551,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Cason Wallace,6.0,3.606,0.601,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Aaron Wiggins,5.857,7.244,1.237,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Isaiah Hartenstein,5.571,3.101,0.557,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Isaiah Joe,4.8,4.207,0.876,5
2025,2025_nba_finals_pacers_vs_thunder,OKC,Jaylin Williams,3.333,3.512,1.054,3
2025,2025_nba_finals_pacers_vs_thunder,IND,Tony Bradley,3.0,1.0,0.333,3
2025,2025_nba_finals_pacers_vs_thunder,IND,Ben Sheppard,2.857,2.41,0.844,7
2025,2025_nba_finals_pacers_vs_thunder,IND,Thomas Bryant,1.667,2.251,1.351,6
2025,2025_nba_finals_pacers_vs_thunder,OKC,Dillon Jones,1.333,2.309,1.732,3
2025,2025_nba_finals_pacers_vs_thunder,OKC,Ajay Mitchell,1.0,1.155,1.155,4
2025,2025_nba_finals_pacers_vs_thunder,IND,James Johnson,1.0,1.414,1.414,2
2025,2025_nba_finals_pacers_vs_thunder,OKC,Kenrich Williams,1.0,1.732,1.732,7
2025,2025_nba_finals_pacers_vs_thunder,OKC,Ousmane Dieng,1.0,1.732,1.732,3
2025,2025_nba_finals_pacers_vs_thunder,IND,Johnny Furphy,0.5,1.0,2.0,4
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Luka Dončić,29.2,1.924,0.066,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jayson Tatum,22.2,8.106,0.365,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jaylen Brown,20.8,7.12,0.342,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Kyrie Irving,19.8,9.094,0.459,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Jrue Holiday,14.4,6.877,0.478,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Derrick White,13.8,4.604,0.334,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Kristaps Porziņģis,12.333,7.506,0.609,3
2024,2024_nba_finals_mavericks_vs_celtics,DAL,P.J. Washington,10.8,5.541,0.513,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Sam Hauser,8.2,4.266,0.52,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Daniel Gafford,8.0,2.915,0.364,5
2024,2024_nba_finals_mavericks_vs_celtics,BOS,Al Horford,7.0,2.915,0.416,5
2024,2024_nba_finals_mavericks_vs_celtics,DAL,Derrick Jones Jr.,6.6,3.782,0.573,5
