Year,Series,Team,Player,Q4_FG,Q4_FGA,Q4_3P,Q4_PTS,Q4_G,Q4_FG%,Q4_eFG%
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jalen Brunson,19.0,37.0,3.0,56.0,5,0.514,0.554
2026,2026_nba_finals_knicks_vs_spurs,SAS,Victor Wembanyama,12.0,35.0,2.0,39.0,5,0.343,0.371
2026,2026_nba_finals_knicks_vs_spurs,SAS,De'Aaron Fox,5.0,19.0,2.0,14.0,5,0.263,0.316
2026,2026_nba_finals_knicks_vs_spurs,NYK,OG Anunoby,10.0,17.0,5.0,35.0,5,0.588,0.735
2026,2026_nba_finals_knicks_vs_spurs,SAS,Dylan Harper,6.0,16.0,0.0,15.0,5,0.375,0.375
2026,2026_nba_finals_knicks_vs_spurs,NYK,Landry Shamet,5.0,14.0,3.0,13.0,5,0.357,0.464
2026,2026_nba_finals_knicks_vs_spurs,SAS,Stephon Castle,5.0,13.0,2.0,21.0,5,0.385,0.462
2026,2026_nba_finals_knicks_vs_spurs,SAS,Devin Vassell,4.0,10.0,2.0,10.0,5,0.4,0.5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Karl-Anthony Towns,2.0,10.0,1.0,5.0,5,0.2,0.25
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mikal Bridges,1.0,10.0,0.0,5.0,5,0.1,0.1
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jose Alvarado,3.0,7.0,2.0,8.0,5,0.429,0.571
2026,2026_nba_finals_knicks_vs_spurs,NYK,Josh Hart,1.0,6.0,1.0,4.0,5,0.167,0.25
2026,2026_nba_finals_knicks_vs_spurs,NYK,Miles McBride,1.0,6.0,1.0,3.0,4,0.167,0.25
2026,2026_nba_finals_knicks_vs_spurs,SAS,Julian Champagnie,0.0,4.0,0.0,1.0,5,0.0,0.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Keldon Johnson,2.0,3.0,1.0,5.0,4,0.667,0.833
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mitchell Robinson,1.0,2.0,0.0,2.0,5,0.5,0.5
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jordan Clarkson,0.0,2.0,0.0,0.0,2,0.0,0.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Harrison Barnes,0.0,1.0,0.0,0.0,1,0.0,0.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Ariel Hukporti,0.0,0.0,0.0,0.0,1,,
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jeremy Sochan,0.0,0.0,0.0,0.0,1,,
2026,2026_nba_finals_knicks_vs_spurs,SAS,Luke Kornet,0.0,0.0,0.0,0.0,3,,
2025,2025_nba_finals_pacers_vs_thunder,OKC,Jalen Williams,13.0,34.0,2.0,39.0,6,0.382,0.412
2025,2025_nba_finals_pacers_vs_thunder,OKC,Shai Gilgeous-Alexander,12.0,33.0,2.0,51.0,6,0.364,0.394
2025,2025_nba_finals_pacers_vs_thunder,IND,Tyrese Haliburton,11.0,21.0,3.0,29.0,5,0.524,0.595
2025,2025_nba_finals_pacers_vs_thunder,IND,Bennedict Mathurin,10.0,20.0,1.0,40.0,7,0.5,0.525
2025,2025_nba_finals_pacers_vs_thunder,IND,Pascal Siakam,9.0,19.0,2.0,24.0,7,0.474,0.526
2025,2025_nba_finals_pacers_vs_thunder,IND,Andrew Nembhard,6.0,16.0,2.0,18.0,7,0.375,0.438
2025,2025_nba_finals_pacers_vs_thunder,IND,T.J. McConnell,7.0,14.0,0.0,14.0,7,0.5,0.5
2025,2025_nba_finals_pacers_vs_thunder,IND,Aaron Nesmith,4.0,12.0,3.0,14.0,6,0.333,0.458
2025,2025_nba_finals_pacers_vs_thunder,IND,Obi Toppin,7.0,11.0,2.0,18.0,7,0.636,0.727
2025,2025_nba_finals_pacers_vs_thunder,OKC,Chet Holmgren,4.0,11.0,0.0,14.0,6,0.364,0.364
2025,2025_nba_finals_pacers_vs_thunder,OKC,Aaron Wiggins,3.0,10.0,3.0,15.0,6,0.3,0.45
2025,2025_nba_finals_pacers_vs_thunder,IND,Myles Turner,5.0,9.0,2.0,16.0,7,0.556,0.667
2025,2025_nba_finals_pacers_vs_thunder,OKC,Cason Wallace,5.0,9.0,0.0,11.0,7,0.556,0.556
