Year,Series,Game,Date,BoxScore,Team,Won,Player,MP,FG,FGA,FG%,3P,3PA,FT,FTA,PTS,eFG%
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,John Havlicek,48:00,14.0,26.0,.538,0.0,,9.0,9.0,37.0,0.538
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,Bill Russell,48:00,6.0,12.0,.500,0.0,,4.0,5.0,16.0,0.5
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,Em Bryant,39:00,7.0,12.0,.583,0.0,,3.0,3.0,17.0,0.583
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,Bailey Howell,25:00,4.0,12.0,.333,0.0,,0.0,1.0,8.0,0.333
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,Larry Siegfried,16:00,1.0,4.0,.250,0.0,,0.0,1.0,2.0,0.25
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,Sam Jones,32:00,9.0,18.0,.500,0.0,,3.0,4.0,21.0,0.5
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,Don Nelson,23:00,6.0,15.0,.400,0.0,,4.0,5.0,16.0,0.4
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,BOS,False,Don Chaney,9:00,0.0,1.0,.000,0.0,,1.0,2.0,1.0,0.0
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Wilt Chamberlain,48:00,6.0,11.0,.545,0.0,,3.0,9.0,15.0,0.545
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Jerry West,46:00,21.0,41.0,.512,0.0,,11.0,13.0,53.0,0.512
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Elgin Baylor,40:00,10.0,21.0,.476,0.0,,4.0,8.0,24.0,0.476
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Bill Hewitt,36:00,5.0,12.0,.417,0.0,,0.0,0.0,10.0,0.417
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Johnny Egan,30:00,4.0,7.0,.571,0.0,,2.0,2.0,10.0,0.571
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Keith Erickson,19:00,2.0,4.0,.500,0.0,,1.0,1.0,5.0,0.5
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Mel Counts,11:00,1.0,4.0,.250,0.0,,1.0,2.0,3.0,0.25
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Tom Hawkins,9:00,0.0,0.0,,0.0,,0.0,2.0,0.0,
1969,1969_nba_finals_celtics_vs_lakers,1,1969-04-23,196904230LAL,LAL,True,Freddie Crawford,1:00,0.0,0.0,,0.0,,0.0,0.0,0.0,
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,John Havlicek,48:00,15.0,27.0,.556,0.0,,13.0,14.0,43.0,0.556
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Bill Russell,48:00,4.0,7.0,.571,0.0,,1.0,5.0,9.0,0.571
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Sam Jones,37:00,10.0,26.0,.385,0.0,,1.0,1.0,21.0,0.385
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Em Bryant,33:00,3.0,12.0,.250,0.0,,2.0,3.0,8.0,0.25
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Bailey Howell,32:00,8.0,21.0,.381,0.0,,0.0,2.0,16.0,0.381
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Larry Siegfried,21:00,4.0,10.0,.400,0.0,,1.0,1.0,9.0,0.4
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Don Nelson,16:00,2.0,9.0,.222,0.0,,1.0,1.0,5.0,0.222
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Tom Sanders,4:00,0.0,0.0,,0.0,,0.0,0.0,0.0,
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,BOS,False,Don Chaney,1:00,0.0,0.0,,0.0,,1.0,1.0,1.0,
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Wilt Chamberlain,48:00,1.0,6.0,.167,0.0,,2.0,4.0,4.0,0.167
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Johnny Egan,42:00,10.0,19.0,.526,0.0,,6.0,6.0,26.0,0.526
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Jerry West,41:00,12.0,22.0,.545,0.0,,17.0,20.0,41.0,0.545
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Elgin Baylor,33:00,11.0,15.0,.733,0.0,,10.0,12.0,32.0,0.733
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Bill Hewitt,26:00,2.0,5.0,.400,0.0,,1.0,1.0,5.0,0.4
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Mel Counts,19:00,2.0,5.0,.400,0.0,,2.0,3.0,6.0,0.4
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Keith Erickson,16:00,1.0,3.0,.333,0.0,,0.0,0.0,2.0,0.333
1969,1969_nba_finals_celtics_vs_lakers,2,1969-04-25,196904250LAL,LAL,True,Tom Hawkins,15:00,1.0,4.0,.250,0.0,,0.0,2.0,2.0,0.25
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Wilt Chamberlain,48:00,6.0,11.0,.545,0.0,,4.0,11.0,16.0,0.545
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Jerry West,42:00,9.0,24.0,.375,0.0,,6.0,7.0,24.0,0.375
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Johnny Egan,38:00,8.0,14.0,.571,0.0,,6.0,9.0,22.0,0.571
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Elgin Baylor,31:00,4.0,18.0,.222,0.0,,3.0,4.0,11.0,0.222
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Bill Hewitt,24:00,0.0,4.0,.000,0.0,,1.0,2.0,1.0,0.0
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Keith Erickson,25:00,5.0,9.0,.556,0.0,,0.0,0.0,10.0,0.556
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Mel Counts,19:00,6.0,9.0,.667,0.0,,6.0,6.0,18.0,0.667
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,LAL,False,Tom Hawkins,13:00,1.0,2.0,.500,0.0,,1.0,1.0,3.0,0.5
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,John Havlicek,48:00,13.0,25.0,.520,0.0,,8.0,9.0,34.0,0.52
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,Bill Russell,48:00,5.0,12.0,.417,0.0,,1.0,2.0,11.0,0.417
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,Sam Jones,35:00,6.0,16.0,.375,0.0,,3.0,4.0,15.0,0.375
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,Bailey Howell,32:00,4.0,12.0,.333,0.0,,2.0,3.0,10.0,0.333
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,Em Bryant,22:00,1.0,5.0,.200,0.0,,1.0,1.0,3.0,0.2
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,Larry Siegfried,33:00,10.0,16.0,.625,0.0,,8.0,9.0,28.0,0.625
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,Don Nelson,16:00,2.0,5.0,.400,0.0,,0.0,1.0,4.0,0.4
1969,1969_nba_finals_celtics_vs_lakers,3,1969-04-27,196904270BOS,BOS,True,Tom Sanders,6:00,3.0,7.0,.429,0.0,,0.0,0.0,6.0,0.429
1969,1969_nba_finals_celtics_vs_lakers,4,1969-04-29,196904290BOS,LAL,False,Wilt Chamberlain,48:00,3.0,8.0,.375,0.0,,2.0,11.0,8.0,0.375
1969,1969_nba_finals_celtics_vs_lakers,4,1969-04-29,196904290BOS,LAL,False,Jerry West,45:00,15.0,30.0,.500,0.0,,10.0,10.0,40.0,0.5
1969,1969_nba_finals_celtics_vs_lakers,4,1969-04-29,196904290BOS,LAL,False,Elgin Baylor,40:00,2.0,14.0,.143,0.0,,1.0,5.0,5.0,0.143
