Year,Series,Team,Player,W_FG,W_FGA,W_3P,W_eFG%,L_FG,L_FGA,L_3P,L_eFG%,rel_WL_eFG%,W_G,L_G
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jalen Brunson,45.0,108.0,11.0,0.468,11.0,25.0,3.0,0.5,-0.032,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,OG Anunoby,23.0,48.0,13.0,0.615,9.0,13.0,3.0,0.808,-0.193,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Karl-Anthony Towns,20.0,39.0,4.0,0.564,4.0,10.0,0.0,0.4,0.164,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mikal Bridges,19.0,38.0,8.0,0.605,1.0,5.0,0.0,0.2,0.405,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Landry Shamet,12.0,31.0,7.0,0.5,1.0,8.0,1.0,0.188,0.312,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Josh Hart,7.0,24.0,4.0,0.375,6.0,10.0,4.0,0.8,-0.425,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Miles McBride,4.0,20.0,3.0,0.275,0.0,2.0,0.0,0.0,0.275,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jose Alvarado,6.0,19.0,3.0,0.395,2.0,5.0,0.0,0.4,-0.005,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Victor Wembanyama,11.0,18.0,2.0,0.667,33.0,86.0,7.0,0.424,0.243,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Dylan Harper,5.0,18.0,1.0,0.306,30.0,53.0,6.0,0.623,-0.317,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,De'Aaron Fox,4.0,14.0,0.0,0.286,20.0,56.0,7.0,0.42,-0.134,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Stephon Castle,8.0,14.0,2.0,0.643,15.0,47.0,4.0,0.362,0.281,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Mitchell Robinson,5.0,11.0,0.0,0.455,2.0,3.0,0.0,0.667,-0.212,4.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Julian Champagnie,4.0,9.0,3.0,0.611,14.0,35.0,12.0,0.571,0.04,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jordan Clarkson,2.0,9.0,0.0,0.222,4.0,7.0,2.0,0.714,-0.492,3.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Keldon Johnson,3.0,5.0,0.0,0.6,5.0,18.0,3.0,0.361,0.239,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Devin Vassell,3.0,4.0,3.0,1.125,19.0,37.0,11.0,0.662,0.463,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Carter Bryant,1.0,1.0,1.0,1.5,2.0,4.0,1.0,0.625,0.875,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Luke Kornet,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Jeremy Sochan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0
2026,2026_nba_finals_knicks_vs_spurs,SAS,Harrison Barnes,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2026,2026_nba_finals_knicks_vs_spurs,NYK,Ariel Hukporti,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0
2025,2025_nba_finals_pacers_vs_thunder,OKC,Shai Gilgeous-Alexander,40.0,93.0,4.0,0.452,30.0,65.0,4.0,0.492,-0.04,4.0,3.0
2025,2025_nba_finals_pacers_vs_thunder,OKC,Jalen Williams,34.0,77.0,6.0,0.481,21.0,50.0,2.0,0.44,0.041,4.0,3.0
2025,2025_nba_finals_pacers_vs_thunder,IND,Pascal Siakam,21.0,43.0,2.0,0.512,23.0,54.0,8.0,0.5,0.012,3.0,4.0
2025,2025_nba_finals_pacers_vs_thunder,OKC,Chet Holmgren,20.0,43.0,3.0,0.5,10.0,33.0,0.0,0.303,0.197,4.0,3.0
2025,2025_nba_finals_pacers_vs_thunder,IND,Tyrese Haliburton,20.0,42.0,9.0,0.583,17.0,39.0,7.0,0.526,0.057,3.0,4.0
