Unnamed: 0,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
0,Pascal Siakam,30.0,7,7.0,234,0.574,0.505,7.7,18.6,13.1,19.4,2.3,3.5,9.3,23.8,121.0,110.0,17.1
1,Tyrese Haliburton,24.0,7,7.0,210,0.58,0.556,1.1,15.4,8.5,31.5,1.8,1.7,20.7,21.8,106.0,113.0,11.5
2,Bennedict Mathurin,22.0,7,0.0,144,0.58,0.482,14.4,14.3,13.9,11.3,1.4,2.9,10.7,25.4,120.0,114.0,10.1
3,T.J. McConnell,32.0,7,0.0,142,0.592,0.575,2.4,17.2,9.8,42.3,5.1,0.7,21.1,27.3,106.0,105.0,10.4
4,Andrew Nembhard,25.0,7,7.0,237,0.606,0.56,2.9,7.5,5.3,17.8,1.8,0.3,20.1,15.3,112.0,116.0,8.8
5,Obi Toppin,26.0,7,0.0,166,0.556,0.555,2.9,21.4,12.1,7.9,1.5,1.5,12.6,20.4,99.0,111.0,7.3
6,Myles Turner,28.0,7,7.0,190,0.502,0.426,5.4,12.6,9.0,8.7,0.5,4.5,16.0,19.9,94.0,113.0,6.4
7,Aaron Nesmith,25.0,7,7.0,189,0.549,0.535,5.7,17.9,12.1,5.7,1.6,2.5,14.3,15.8,101.0,111.0,5.9
8,Ben Sheppard,23.0,7,0.0,95,0.556,0.556,4.9,12.7,8.8,1.4,2.5,1.1,18.2,10.0,93.0,110.0,2.0
9,Thomas Bryant,27.0,6,0.0,32,0.644,0.667,0.0,6.7,3.5,4.0,0.0,3.2,0.0,10.3,119.0,117.0,0.9
10,Tony Bradley,27.0,3,0.0,24,0.678,0.5,17.8,12.5,15.7,0.0,0.0,0.0,23.1,15.5,123.0,118.0,2.1
11,Johnny Furphy,20.0,4,0.0,12,0.694,1.0,0.0,10.2,5.1,0.0,0.0,0.0,41.0,8.3,50.0,116.0,0.1
12,James Johnson,37.0,2,0.0,5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,78.0,120.0,0.1
13,Team Totals,26.1,7,,1680,0.57,0.528,25.9,74.3,50.7,61.6,9.5,10.4,16.2,,108.8,111.6,
