Unnamed: 0,Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
0,Victor Wembanyama,22.0,5,5.0,199,0.531,0.466,9.6,20.7,15.1,12.6,1.2,8.6,9.6,30.3,108.0,104.0,20.9
1,Dylan Harper,19.0,5,0.0,155,0.573,0.542,2.8,19.3,11.1,19.6,0.6,0.6,7.1,24.3,114.0,111.0,13.1
2,Stephon Castle,21.0,5,5.0,158,0.504,0.426,4.5,13.5,9.1,22.2,0.9,0.6,16.2,24.3,99.0,112.0,9.0
3,De'Aaron Fox,28.0,5,5.0,183,0.43,0.393,1.2,7.7,4.5,27.0,1.9,2.1,15.8,21.6,91.0,111.0,8.1
4,Devin Vassell,25.0,5,5.0,192,0.726,0.707,2.5,16.1,9.4,12.1,0.8,1.0,6.4,10.9,141.0,111.0,12.7
5,Julian Champagnie,24.0,5,5.0,158,0.59,0.58,3.0,14.9,8.9,9.0,2.0,1.1,7.9,14.3,116.0,109.0,9.4
6,Keldon Johnson,26.0,5,0.0,75,0.415,0.413,7.2,14.6,11.1,5.7,2.0,0.0,10.2,17.6,87.0,110.0,2.3
7,Carter Bryant,20.0,5,0.0,23,0.765,0.8,0.0,14.8,7.1,0.0,2.3,4.2,25.4,15.5,80.0,105.0,0.9
8,Luke Kornet,30.0,5,0.0,42,0.399,0.0,11.0,17.5,14.5,5.9,4.8,0.0,21.0,5.1,121.0,101.0,1.2
9,Harrison Barnes,33.0,2,0.0,17,0.0,0.0,5.3,5.7,5.5,8.8,0.0,0.0,0.0,6.1,44.0,114.0,-0.3
10,Team Totals,24.6,5,,1200,0.534,0.493,22.8,76.3,49.6,61.0,7.1,11.3,11.5,,106.4,108.9,
