Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Larry Bird,27.0,7,7.0,305,0.595,0.5,8.6,27.5,17.6,12.8,2.3,1.4,13.4,23.7,120.0,107.0,23.7
Dennis Johnson,29.0,7,7.0,255,0.472,0.399,3.4,5.4,4.5,19.0,2.0,0.5,12.1,22.6,104.0,113.0,10.9
Robert Parish,30.0,7,7.0,256,0.47,0.44,12.3,22.3,16.9,5.4,2.0,2.3,10.9,19.5,104.0,107.0,12.0
Kevin McHale,26.0,7,0.0,214,0.529,0.452,8.0,12.9,10.4,5.2,0.5,2.1,12.8,18.4,109.0,115.0,8.9
Cedric Maxwell,28.0,7,7.0,242,0.63,0.458,6.7,11.0,8.9,13.6,1.6,0.5,16.2,13.9,127.0,113.0,11.9
Gerald Henderson,28.0,7,7.0,179,0.495,0.468,5.8,5.3,5.5,23.6,2.7,0.0,13.9,21.9,105.0,113.0,8.7
Danny Ainge,24.0,7,0.0,98,0.45,0.443,2.4,6.6,4.5,22.2,2.4,0.0,9.7,20.5,101.0,110.0,3.6
Scott Wedman,31.0,4,0.0,73,0.5,0.5,14.7,14.1,14.5,21.6,0.0,0.0,14.0,22.4,105.0,122.0,6.9
Quinn Buckner,29.0,7,0.0,56,0.354,0.333,10.4,2.4,6.0,10.4,0.8,0.0,9.2,15.1,88.0,117.0,0.6
M.L. Carr,33.0,4,0.0,28,0.477,0.364,6.1,4.2,5.6,9.9,3.5,0.0,6.8,20.0,106.0,113.0,2.1
Carlos Clark,23.0,3,0.0,11,0.4,0.4,11.8,0.0,5.0,0.0,0.0,4.3,0.0,17.1,95.0,125.0,0.5
Greg Kite,22.0,4,0.0,13,0.25,0.25,6.4,0.0,3.5,18.2,0.0,4.2,0.0,11.9,82.0,119.0,0.1
Team Totals,28.0,7,,1730,0.516,0.449,38.4,68.2,52.4,54.5,8.9,5.3,12.5,,109.8,112.0,
