Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Kevin McHale,28.0,6,6.0,241,0.629,0.573,10.5,11.8,11.3,6.4,1.1,3.4,14.0,25.0,118.0,107.0,20.3
Larry Bird,29.0,6,6.0,269,0.578,0.514,4.0,17.7,11.5,30.4,2.9,0.4,11.4,22.0,124.0,102.0,23.9
Dennis Johnson,31.0,6,6.0,257,0.52,0.432,5.0,10.1,7.9,16.6,2.3,0.5,16.2,19.3,106.0,107.0,13.7
Danny Ainge,26.0,6,6.0,213,0.617,0.579,2.7,7.4,5.3,21.6,3.5,0.2,16.6,16.8,117.0,105.0,13.3
Robert Parish,32.0,6,6.0,191,0.433,0.418,10.4,12.7,11.5,4.3,0.8,3.5,13.8,22.6,88.0,107.0,7.9
Bill Walton,33.0,6,0.0,117,0.619,0.622,12.6,22.9,18.3,13.2,1.2,1.8,13.4,16.1,118.0,103.0,8.0
Jerry Sichting,29.0,6,0.0,85,0.44,0.45,1.3,4.7,3.1,16.3,0.0,0.0,8.9,11.5,101.0,115.0,2.0
Rick Carlisle,26.0,3,0.0,8,1.0,1.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,15.6,201.0,114.0,2.3
Greg Kite,24.0,6,0.0,30,1.042,1.0,8.5,13.9,10.8,8.3,1.7,1.8,25.8,5.5,162.0,104.0,1.0
Sam Vincent,22.0,4,0.0,12,0.182,0.182,10.3,16.0,13.2,0.0,8.0,0.0,8.3,42.0,42.0,88.0,-0.6
David Thirdkill,25.0,5,0.0,15,0.255,0.2,7.6,7.0,7.3,9.7,6.3,0.0,25.4,21.7,51.0,98.0,0.1
Scott Wedman,33.0,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,0.0,109.0,-0.7
Team Totals,29.2,6,,1440,0.553,0.505,33.6,62.1,49.2,64.6,10.2,7.0,13.9,,111.9,105.5,
