Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Magic Johnson,27.0,6,6.0,236,0.59,0.545,6.0,18.7,11.9,46.5,2.9,0.5,8.9,26.3,132.0,111.0,28.3
Kareem Abdul-Jabbar,39.0,6,6.0,203,0.552,0.51,8.0,17.5,12.7,3.4,0.8,4.5,7.8,26.9,112.0,113.0,15.7
James Worthy,25.0,6,6.0,238,0.528,0.523,5.7,10.5,7.9,13.8,2.1,1.3,9.3,23.1,108.0,115.0,15.6
Michael Cooper,30.0,6,0.0,179,0.696,0.68,0.8,8.9,4.7,18.8,2.7,0.7,20.1,15.4,120.0,113.0,10.7
Byron Scott,25.0,6,6.0,181,0.531,0.492,4.4,7.7,5.9,9.5,0.8,0.3,8.2,17.0,112.0,119.0,7.9
Mychal Thompson,32.0,6,0.0,171,0.634,0.561,5.7,15.2,10.6,3.0,1.4,2.4,5.4,14.0,132.0,113.0,9.9
A.C. Green,23.0,6,6.0,144,0.529,0.5,11.4,13.6,12.5,0.8,0.7,0.8,8.3,14.1,113.0,117.0,5.7
Kurt Rambis,28.0,6,0.0,56,0.571,0.429,7.6,23.5,15.9,4.9,0.0,0.0,17.2,8.6,120.0,118.0,1.3
Adrian Branch,23.0,4,0.0,10,0.289,0.167,0.0,33.4,18.2,15.5,4.7,0.0,0.0,35.7,72.0,102.0,0.4
Wes Matthews,27.0,4,0.0,13,0.363,0.333,0.0,9.0,4.9,13.2,0.0,0.0,30.4,31.2,50.0,120.0,-0.5
Mike Smrek,24.0,4,0.0,9,0.333,0.333,23.2,37.1,33.2,0.0,0.0,6.2,25.0,18.2,69.0,107.0,0.2
Team Totals,28.1,6,,1440,0.564,0.529,30.4,69.6,49.4,57.1,8.2,7.4,9.9,,118.4,114.1,
