Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Joe Dumars,25.0,4,4.0,147,0.659,0.576,1.0,4.7,3.0,26.7,0.7,0.5,7.8,28.1,136.0,117.0,22.4
Isiah Thomas,27.0,4,4.0,141,0.552,0.5,1.9,7.1,4.5,31.7,2.3,0.5,11.5,28.4,117.0,113.0,16.2
Vinnie Johnson,32.0,4,0.0,95,0.62,0.61,4.2,13.2,8.7,21.9,0.0,0.8,3.5,27.6,129.0,116.0,12.8
James Edwards,33.0,4,0.0,97,0.529,0.444,8.6,9.8,9.2,3.7,0.0,2.3,8.1,17.8,114.0,116.0,5.4
Bill Laimbeer,31.0,4,4.0,94,0.638,0.591,4.3,22.6,14.2,13.6,1.1,0.0,10.7,13.7,129.0,111.0,7.0
Mark Aguirre,29.0,4,4.0,107,0.411,0.364,11.7,16.5,14.1,6.9,1.0,0.0,18.0,19.3,88.0,114.0,3.7
John Salley,24.0,4,0.0,81,0.679,0.684,3.3,11.5,7.7,8.8,0.7,9.8,8.3,13.6,131.0,107.0,7.3
Rick Mahorn,30.0,4,4.0,98,0.581,0.556,8.1,18.0,13.4,5.3,0.6,2.4,4.6,10.2,129.0,112.0,5.4
Dennis Rodman,27.0,4,0.0,94,0.553,0.467,18.1,32.7,26.3,6.6,1.1,0.8,33.2,13.0,99.0,108.0,5.4
John Long,32.0,1,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,200.0,109.0,1.7
Fennis Dembo,23.0,1,0.0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,106.0,-0.4
Micheal Williams,22.0,1,0.0,2,,,0.0,0.0,0.0,52.2,0.0,0.0,,0.0,202.0,106.0,0.3
Team Totals,28.5,4,,960,0.586,0.535,31.5,71.0,52.5,58.1,4.4,7.9,10.8,,120.6,113.1,
