Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Isiah Thomas,28.0,5,5.0,192,0.629,0.599,4.9,11.4,7.9,35.4,2.1,0.7,18.6,29.7,116.0,104.0,20.1
Joe Dumars,26.0,5,5.0,210,0.524,0.427,2.9,5.7,4.1,20.5,1.0,0.0,15.5,23.3,107.0,109.0,13.0
James Edwards,34.0,5,5.0,138,0.474,0.446,6.6,10.2,8.3,4.5,0.7,1.5,6.2,25.2,103.0,106.0,7.3
Bill Laimbeer,32.0,5,5.0,191,0.565,0.519,7.1,34.4,20.5,9.6,1.8,1.1,1.7,13.2,133.0,97.0,13.8
Vinnie Johnson,33.0,5,0.0,113,0.585,0.543,7.3,3.2,5.2,8.3,0.5,1.8,13.3,22.7,113.0,110.0,7.7
Mark Aguirre,30.0,5,3.0,120,0.442,0.378,5.5,11.6,8.2,4.3,0.8,0.0,10.0,21.0,96.0,107.0,4.3
John Salley,25.0,5,0.0,143,0.437,0.375,13.4,12.2,12.9,2.0,0.4,5.6,9.6,12.3,106.0,103.0,6.0
Dennis Rodman,28.0,4,2.0,79,0.418,0.444,8.1,24.8,15.6,5.5,1.3,1.8,35.8,8.8,73.0,99.0,1.6
Dave Greenwood,32.0,3,0.0,33,0.387,0.333,7.9,25.7,17.1,0.0,1.5,0.0,34.0,7.5,69.0,104.0,0.1
Gerald Henderson,34.0,2,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,200.0,115.0,0.9
Scott Hastings,29.0,2,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,114.0,-0.6
Team Totals,29.5,5,,1225,0.532,0.483,33.2,71.8,51.8,47.7,5.7,6.9,13.0,,109.3,104.2,
