Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Michael Jordan,27.0,5,5.0,220,0.612,0.566,5.1,14.2,9.9,45.8,3.5,2.3,12.4,31.9,125.0,102.0,29.4
Scottie Pippen,25.0,5,5.0,218,0.527,0.459,9.8,18.4,14.2,21.5,3.0,1.7,16.8,26.0,107.0,102.0,17.5
Horace Grant,25.0,5,5.0,198,0.649,0.627,10.0,15.7,13.0,6.2,2.3,1.1,13.8,16.0,120.0,105.0,13.9
John Paxson,30.0,5,5.0,159,0.672,0.663,1.7,6.1,4.0,16.1,1.7,0.0,3.9,15.7,139.0,109.0,12.1
Bill Cartwright,33.0,5,5.0,160,0.452,0.435,4.5,15.4,10.2,10.1,1.0,1.3,11.0,16.5,97.0,107.0,6.1
Craig Hodges,30.0,5,0.0,53,0.413,0.413,0.0,6.8,3.8,2.9,0.0,0.0,8.0,23.4,76.0,113.0,0.9
Cliff Levingston,30.0,5,0.0,90,0.615,0.615,7.8,11.8,10.1,3.6,3.1,4.1,7.1,7.6,126.0,100.0,4.2
B.J. Armstrong,23.0,5,0.0,37,0.455,0.455,4.2,7.3,5.7,19.1,2.9,0.0,8.3,15.6,99.0,108.0,1.7
Will Perdue,25.0,5,0.0,37,0.68,0.6,12.6,31.4,21.7,2.8,0.0,2.3,25.4,10.4,116.0,104.0,1.5
Scott Williams,22.0,4,0.0,45,0.602,0.5,6.7,18.0,13.2,8.6,0.0,1.7,13.1,8.3,127.0,105.0,1.7
Stacey King,24.0,2,0.0,6,0.258,0.0,0.0,20.5,11.4,0.0,0.0,0.0,20.5,39.4,51.0,103.0,-0.8
Dennis Hopson,25.0,1,0.0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114.0,0.0
Team Totals,27.1,5,,1225,0.57,0.533,31.6,70.5,52.4,65.3,11.2,7.6,12.4,,115.7,104.5,
