Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Michael Jordan,28.0,6,6.0,254,0.617,0.565,2.9,10.6,7.0,30.7,2.0,0.5,12.1,35.9,116.0,104.0,25.8
Scottie Pippen,26.0,6,6.0,244,0.561,0.495,9.0,15.7,12.5,29.6,1.9,1.1,17.1,25.3,111.0,102.0,18.1
John Paxson,31.0,6,6.0,185,0.599,0.59,0.0,3.5,1.8,12.2,2.2,0.0,10.4,14.4,114.0,107.0,7.6
Horace Grant,26.0,6,6.0,227,0.567,0.561,3.7,21.1,12.8,15.3,1.1,4.3,9.3,10.7,120.0,100.0,11.3
Bill Cartwright,34.0,6,6.0,151,0.51,0.5,5.6,13.1,9.5,8.9,1.0,0.5,24.4,15.0,87.0,105.0,3.2
B.J. Armstrong,24.0,6,0.0,107,0.46,0.443,1.2,4.7,2.9,18.3,1.0,0.0,19.1,20.0,88.0,106.0,2.5
Scott Williams,23.0,6,0.0,128,0.59,0.542,12.0,24.1,18.0,6.3,0.4,4.3,12.5,11.4,120.0,100.0,5.8
Cliff Levingston,31.0,6,0.0,65,0.471,0.45,12.3,12.4,12.1,9.9,0.8,1.0,3.9,17.8,107.0,105.0,2.9
Stacey King,25.0,4,0.0,48,0.444,0.333,7.5,17.8,12.8,0.0,1.1,1.4,12.9,22.0,88.0,98.0,2.0
Bob Hansen,31.0,5,0.0,40,0.735,0.75,3.4,3.1,3.0,9.8,1.3,0.0,8.4,13.3,134.0,104.0,2.3
Craig Hodges,31.0,2,0.0,6,1.0,1.0,0.0,0.0,0.0,0.0,8.9,0.0,66.7,23.6,47.0,95.0,0.2
Will Perdue,26.0,3,0.0,10,0.258,0.333,12.6,24.6,18.1,0.0,0.0,0.0,0.0,16.7,71.0,103.0,-0.1
Team Totals,27.7,6,,1465,0.568,0.53,26.5,66.7,47.3,66.8,7.5,7.3,14.1,,110.8,103.0,
