Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Michael Jordan,29.0,6,6.0,274,0.558,0.533,6.3,15.6,10.9,28.4,2.0,1.0,6.8,38.9,119.0,112.0,29.6
Scottie Pippen,27.0,6,6.0,266,0.459,0.439,6.8,17.0,12.0,25.3,2.4,1.6,15.8,28.0,97.0,110.0,15.6
B.J. Armstrong,25.0,6,6.0,251,0.613,0.587,1.0,4.2,2.6,16.2,1.0,0.3,7.0,12.8,132.0,118.0,11.2
Horace Grant,27.0,6,6.0,233,0.546,0.528,12.2,18.9,15.7,7.9,2.0,2.5,7.5,12.7,122.0,110.0,12.8
John Paxson,32.0,6,0.0,96,0.833,0.833,5.2,6.3,5.6,6.6,1.7,0.6,4.5,10.6,159.0,118.0,5.3
Scott Williams,24.0,6,0.0,159,0.399,0.406,8.5,18.9,13.7,7.9,1.0,3.6,18.6,12.2,88.0,110.0,4.3
Bill Cartwright,35.0,6,6.0,128,0.409,0.4,6.2,10.6,8.7,10.5,1.3,0.5,5.9,11.8,104.0,115.0,3.4
Trent Tucker,33.0,6,0.0,41,0.85,0.85,2.7,3.3,2.8,18.4,1.2,0.0,9.1,12.3,139.0,118.0,2.4
Stacey King,26.0,6,0.0,49,0.448,0.273,6.3,12.7,9.3,7.2,2.1,1.5,25.6,17.8,83.0,113.0,1.2
Rodney McCray,31.0,1,0.0,4,,,0.0,31.6,15.8,0.0,0.0,0.0,100.0,11.2,0.0,115.0,-0.7
Will Perdue,27.0,1,0.0,9,0.0,0.0,13.7,26.0,20.0,0.0,0.0,0.0,0.0,10.8,40.0,120.0,-0.9
Darrell Walker,31.0,3,0.0,5,0.0,,0.0,0.0,0.0,21.8,0.0,0.0,69.4,12.3,32.0,123.0,-0.2
Team Totals,28.0,6,,1515,0.532,0.513,33.1,66.8,49.9,61.2,8.5,7.0,10.6,,113.0,113.0,
