Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Hakeem Olajuwon,31.0,7,7.0,302,0.556,0.503,5.4,18.4,12.3,19.3,2.0,6.5,12.9,30.9,105.0,95.0,21.0
Vernon Maxwell,28.0,7,7.0,264,0.445,0.411,1.3,8.2,4.9,14.0,0.8,0.0,16.6,22.9,84.0,107.0,5.5
Robert Horry,23.0,7,7.0,265,0.432,0.399,6.1,11.5,9.3,17.0,1.9,1.1,10.7,16.8,98.0,102.0,7.9
Sam Cassell,24.0,7,0.0,158,0.615,0.5,4.3,10.4,7.9,23.0,3.2,0.9,24.0,22.9,104.0,99.0,7.4
Otis Thorpe,31.0,7,7.0,277,0.527,0.519,9.8,22.1,16.4,14.5,1.2,0.0,11.5,12.0,114.0,100.0,10.4
Carl Herrera,27.0,7,0.0,121,0.602,0.579,8.4,14.6,12.1,5.8,1.4,0.6,12.6,19.0,107.0,100.0,4.8
Kenny Smith,28.0,7,7.0,178,0.505,0.458,1.6,5.1,3.2,20.2,1.6,0.0,26.6,14.2,89.0,107.0,3.8
Mario Elie,30.0,7,0.0,79,0.375,0.3,4.1,5.3,5.0,15.1,1.4,1.0,18.1,16.9,75.0,105.0,1.1
Matt Bullard,26.0,2,0.0,27,0.34,0.3,7.6,21.6,13.7,0.0,2.1,3.1,0.0,20.3,86.0,105.0,2.1
Earl Cureton,36.0,1,0.0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,112.0,0.0
Chris Jent,24.0,3,0.0,7,0.0,0.0,0.0,13.7,7.3,0.0,0.0,0.0,33.3,19.6,0.0,95.0,-1.1
Team Totals,28.2,7,,1680,0.508,0.462,27.1,66.3,48.2,65.5,8.3,7.7,15.4,,100.0,100.8,
