Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Hakeem Olajuwon,32.0,4,4.0,179,0.514,0.487,6.9,21.8,14.2,23.9,2.3,3.4,7.9,35.0,107.0,106.0,24.5
Clyde Drexler,32.0,4,4.0,162,0.56,0.467,8.5,17.2,12.8,25.5,1.2,0.4,7.3,23.1,126.0,111.0,20.1
Robert Horry,24.0,4,4.0,187,0.57,0.538,5.2,18.4,11.8,11.5,3.3,3.8,7.4,16.2,119.0,105.0,19.0
Mario Elie,31.0,4,4.0,161,0.785,0.757,3.0,9.0,6.0,11.9,2.5,0.0,14.5,13.5,135.0,111.0,15.4
Sam Cassell,25.0,4,0.0,93,0.626,0.529,1.1,7.2,4.1,19.5,3.9,0.0,11.6,25.2,123.0,109.0,11.3
Kenny Smith,29.0,4,4.0,105,0.517,0.517,1.9,5.3,3.6,22.1,0.5,0.0,6.5,13.3,114.0,117.0,6.1
Chucky Brown,26.0,4,0.0,38,0.505,0.455,9.1,23.7,16.1,0.0,0.0,4.7,7.8,15.6,104.0,112.0,2.6
Charles Jones,37.0,4,0.0,57,0.694,0.5,1.7,11.6,6.7,0.0,0.0,0.0,25.8,3.1,107.0,115.0,-0.4
Pete Chilcutt,26.0,3,0.0,3,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,121.0,0.0
Team Totals,28.5,4,,985,0.574,0.526,24.4,72.9,48.5,64.8,10.3,8.6,8.9,,117.1,109.9,
