Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Michael Jordan,32.0,6,6.0,252,0.538,0.439,4.5,11.4,7.6,20.8,2.3,0.4,10.6,31.0,116.0,107.0,18.5
Scottie Pippen,30.0,6,6.0,248,0.429,0.389,9.0,16.7,12.4,23.2,3.2,2.8,9.1,22.3,106.0,103.0,13.4
Toni Kukoč,27.0,6,2.0,177,0.517,0.493,7.4,14.0,10.2,22.4,1.6,1.0,12.7,22.4,111.0,109.0,9.6
Luc Longley,27.0,6,6.0,170,0.618,0.574,5.3,11.9,8.2,14.7,1.0,6.0,20.9,19.4,106.0,107.0,8.5
Dennis Rodman,34.0,6,6.0,225,0.519,0.486,20.2,28.5,23.9,11.3,1.3,0.4,20.2,11.0,115.0,104.0,10.2
Ron Harper,32.0,6,4.0,116,0.523,0.438,3.8,9.8,6.6,15.1,2.0,1.6,7.4,15.5,129.0,106.0,5.5
Steve Kerr,30.0,6,0.0,113,0.416,0.364,1.9,4.1,2.9,7.5,0.5,0.0,10.0,16.3,89.0,115.0,1.7
Randy Brown,27.0,6,0.0,49,0.618,0.625,2.4,3.3,2.8,20.9,4.7,0.0,17.9,15.7,102.0,108.0,2.0
Bill Wennington,32.0,6,0.0,42,0.66,0.667,5.2,3.1,4.2,4.0,0.0,0.0,13.4,16.6,115.0,116.0,1.5
Jud Buechler,27.0,6,0.0,33,0.202,0.222,0.0,0.0,0.0,3.9,6.8,0.0,16.8,16.5,34.0,104.0,-0.2
John Salley,31.0,5,0.0,15,0.0,0.0,6.7,0.0,4.0,17.3,0.0,0.0,0.0,3.2,102.0,115.0,-0.4
Team Totals,30.3,6,,1440,0.509,0.454,39.3,68.2,52.4,66.0,10.0,7.9,12.7,,111.3,106.7,
