Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Michael Jordan,33.0,6,6.0,256,0.532,0.481,4.3,15.4,9.7,35.6,1.6,1.5,6.7,37.9,113.0,105.0,23.4
Scottie Pippen,31.0,6,6.0,256,0.541,0.484,5.4,18.4,11.5,15.6,2.2,3.6,15.9,25.5,101.0,101.0,15.1
Toni Kukoč,28.0,6,0.0,139,0.58,0.541,1.6,14.8,7.9,20.0,0.4,0.0,10.8,16.5,117.0,109.0,6.7
Bison Dele,27.0,6,0.0,121,0.491,0.472,5.7,13.5,9.5,7.3,2.9,0.6,10.7,19.4,97.0,104.0,4.4
Luc Longley,28.0,6,6.0,132,0.582,0.606,9.4,11.3,10.4,10.7,1.7,1.9,23.8,17.6,94.0,105.0,4.9
Ron Harper,33.0,6,6.0,162,0.419,0.391,5.7,14.3,9.9,14.6,2.1,2.9,5.5,11.3,105.0,103.0,5.5
Steve Kerr,31.0,6,0.0,117,0.486,0.44,1.0,3.9,2.5,8.4,2.0,0.7,7.0,12.2,102.0,108.0,2.8
Dennis Rodman,35.0,6,6.0,163,0.298,0.275,6.9,26.9,16.7,8.5,1.4,0.4,20.3,9.0,73.0,101.0,2.4
Jud Buechler,28.0,6,0.0,52,0.563,0.563,6.5,8.9,8.1,7.0,3.1,5.4,10.1,9.2,114.0,100.0,1.7
Randy Brown,28.0,5,0.0,24,0.34,0.2,0.0,6.6,2.8,7.1,2.4,4.2,0.0,12.3,81.0,100.0,0.2
Jason Caffey,23.0,5,0.0,18,,,16.2,0.0,7.4,9.2,0.0,0.0,100.0,5.9,67.0,115.0,-0.6
Team Totals,30.6,6,,1440,0.516,0.476,25.7,74.8,49.7,60.8,9.1,9.3,11.7,,104.6,103.8,
