Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Michael Jordan,34.0,6,6.0,250,0.516,0.439,4.0,8.2,6.0,14.9,2.7,1.2,4.9,41.2,111.0,100.0,21.4
Scottie Pippen,32.0,6,6.0,237,0.502,0.446,8.3,14.3,11.2,23.8,2.5,1.7,14.6,22.9,104.0,97.0,13.0
Toni Kukoč,29.0,6,6.0,222,0.557,0.546,5.0,12.1,8.2,13.8,1.7,1.3,10.9,20.5,108.0,100.0,11.5
Ron Harper,34.0,6,6.0,173,0.418,0.379,1.9,17.7,9.8,16.0,3.1,1.9,15.5,12.9,93.0,93.0,5.4
Luc Longley,29.0,6,6.0,131,0.491,0.444,10.4,18.5,14.3,11.9,2.2,2.9,26.5,15.6,89.0,92.0,3.7
Steve Kerr,32.0,6,0.0,125,0.528,0.475,0.8,0.8,1.0,20.4,1.0,0.0,12.1,9.7,118.0,108.0,3.2
Scott Burrell,27.0,6,0.0,83,0.45,0.432,0.0,19.8,9.9,0.0,4.7,0.0,11.4,15.2,81.0,84.0,2.5
Dennis Rodman,36.0,6,0.0,182,0.547,0.462,13.4,22.7,17.8,5.3,2.3,0.9,24.7,6.7,115.0,96.0,5.4
Jud Buechler,29.0,6,0.0,30,0.8,0.8,5.8,6.0,5.9,12.0,1.8,2.7,16.7,10.0,130.0,93.0,1.2
Bill Wennington,34.0,3,0.0,13,0.4,0.4,0.0,29.0,13.6,14.4,0.0,6.3,28.6,27.8,59.0,87.0,0.4
Randy Brown,29.0,2,0.0,8,0.333,0.333,0.0,33.9,17.4,0.0,7.2,0.0,40.0,35.0,38.0,56.0,-0.1
Dickey Simpkins,25.0,2,0.0,12,0.347,0.5,10.8,20.3,14.9,15.8,0.0,5.4,25.8,15.9,71.0,80.0,0.8
Team Totals,32.1,6,,1465,0.51,0.459,30.4,71.5,49.8,56.4,12.0,7.5,12.2,,105.5,96.1,
