Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Tim Duncan,22.0,5,5.0,228,0.599,0.537,8.1,27.8,18.5,13.3,1.2,3.4,12.9,28.9,112.0,89.0,22.6
David Robinson,33.0,5,5.0,186,0.518,0.424,9.5,28.0,19.4,13.0,1.5,5.7,9.1,24.0,109.0,86.0,15.7
Mario Elie,35.0,5,5.0,175,0.603,0.5,1.4,11.7,6.9,13.9,1.9,0.0,14.3,16.1,112.0,95.0,9.1
Avery Johnson,33.0,5,5.0,196,0.518,0.5,1.4,6.4,4.1,34.8,0.9,0.0,31.1,16.5,89.0,99.0,6.6
Sean Elliott,30.0,5,5.0,182,0.427,0.393,2.6,6.9,5.1,14.7,1.2,0.4,11.4,14.7,91.0,98.0,4.9
Jaren Jackson,31.0,5,0.0,96,0.446,0.446,1.5,7.6,4.4,10.0,2.9,0.0,19.6,24.2,70.0,93.0,1.7
Antonio Daniels,23.0,4,0.0,23,1.0,1.0,0.0,11.3,5.6,33.6,2.5,0.0,28.6,14.9,135.0,102.0,2.3
Steve Kerr,33.0,5,0.0,44,0.431,0.45,6.5,7.8,7.1,9.7,0.0,0.0,16.1,14.5,79.0,101.0,0.7
Malik Rose,24.0,5,0.0,65,0.255,0.2,6.4,16.1,11.7,5.5,2.7,2.1,29.8,13.2,49.0,88.0,-0.1
Jerome Kersey,36.0,2,0.0,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,200.0,103.0,0.7
Gerard King,26.0,2,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,105.0,0.0
Team Totals,29.8,5,,1200,0.531,0.476,22.8,76.7,51.5,67.3,7.5,8.6,16.2,,98.9,93.1,
