Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Shaquille O'Neal,27.0,6,6.0,274,0.576,0.611,13.6,30.2,21.6,11.3,1.2,4.9,6.2,34.5,116.0,109.0,30.6
Kobe Bryant,21.0,5,5.0,176,0.411,0.378,3.7,13.0,7.7,17.7,1.5,3.3,6.0,25.3,96.0,116.0,9.7
Glen Rice,32.0,6,6.0,193,0.541,0.509,0.6,8.5,4.4,7.7,1.4,0.4,12.4,16.8,100.0,118.0,6.6
Ron Harper,36.0,6,6.0,185,0.538,0.518,2.3,11.9,6.6,23.0,2.3,0.4,16.6,17.7,105.0,116.0,9.0
Robert Horry,29.0,6,0.0,182,0.575,0.547,5.2,16.8,10.2,13.3,1.5,2.5,15.8,14.0,113.0,115.0,7.7
Rick Fox,30.0,6,0.0,104,0.813,0.75,3.3,8.2,5.6,7.6,1.5,0.0,14.0,12.4,146.0,116.0,5.1
Derek Fisher,25.0,6,0.0,112,0.587,0.554,1.8,5.0,3.2,29.6,2.3,0.0,8.9,13.4,131.0,117.0,6.1
A.C. Green,36.0,6,6.0,103,0.623,0.571,9.5,13.8,11.3,4.1,0.5,0.0,7.7,11.3,133.0,119.0,4.3
Brian Shaw,33.0,6,1.0,112,0.238,0.216,3.0,15.9,8.9,20.0,0.9,0.0,11.7,17.2,70.0,116.0,1.0
Travis Knight,25.0,4,0.0,10,0.644,0.667,16.0,0.0,16.0,0.0,0.0,0.0,20.5,28.4,115.0,128.0,0.4
John Salley,35.0,4,0.0,13,0.667,0.667,7.8,30.7,15.5,0.0,5.5,0.0,0.0,12.2,125.0,112.0,0.9
Devean George,22.0,1,0.0,3,0.266,0.0,0.0,59.3,20.0,0.0,0.0,0.0,34.7,41.4,37.0,130.0,-1.6
Team Totals,29.6,6,,1465,0.532,0.515,27.2,77.1,50.1,56.9,7.3,8.7,9.9,,112.6,114.5,
