Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Shaquille O'Neal,28.0,5,5.0,225,0.575,0.573,15.7,24.0,19.7,22.8,0.5,5.0,12.2,33.5,115.0,101.0,27.4
Kobe Bryant,22.0,5,5.0,234,0.501,0.429,2.4,15.5,9.1,22.2,1.6,2.1,12.8,27.8,104.0,103.0,17.2
Derek Fisher,26.0,5,5.0,156,0.588,0.564,0.8,3.2,2.1,10.5,2.7,0.4,12.6,14.0,110.0,105.0,6.4
Rick Fox,31.0,5,5.0,165,0.617,0.544,2.0,13.4,7.7,18.8,2.0,0.8,26.1,15.0,105.0,104.0,8.0
Robert Horry,30.0,5,0.0,127,0.76,0.72,8.8,12.4,10.8,7.9,1.7,3.8,6.7,10.8,153.0,102.0,9.2
Horace Grant,35.0,5,5.0,124,0.346,0.294,11.1,14.3,12.7,3.6,0.9,3.9,5.1,14.7,93.0,104.0,4.4
Tyronn Lue,23.0,5,0.0,74,0.75,0.75,1.7,4.8,3.1,15.1,5.2,1.0,29.4,10.9,109.0,101.0,3.8
Brian Shaw,34.0,5,0.0,93,0.405,0.375,3.7,15.4,9.8,22.3,2.3,0.0,24.0,14.3,85.0,102.0,2.7
Ron Harper,37.0,3,0.0,25,0.697,0.688,0.0,23.3,11.6,22.2,2.2,2.7,0.0,17.4,151.0,95.0,4.5
Mark Madsen,25.0,2,0.0,2,0.0,0.0,56.5,0.0,28.9,0.0,0.0,32.6,0.0,23.1,69.0,90.0,0.4
Team Totals,29.4,5,,1225,0.55,0.512,31.2,70.7,51.4,63.5,9.0,12.3,13.9,,110.0,102.6,
