Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Shaquille O'Neal,29.0,4,4.0,166,0.636,0.595,11.4,21.2,17.1,19.1,0.6,4.3,10.9,36.0,126.0,102.0,30.1
Kobe Bryant,23.0,4,4.0,174,0.623,0.557,2.4,11.7,7.8,21.5,1.8,1.2,14.9,26.9,119.0,107.0,20.3
Derek Fisher,27.0,4,4.0,132,0.651,0.636,2.1,9.5,6.3,17.9,0.4,0.0,15.2,16.4,124.0,113.0,9.6
Rick Fox,32.0,4,4.0,146,0.69,0.63,5.0,13.2,9.8,14.3,2.2,1.0,28.0,12.7,113.0,105.0,9.4
Robert Horry,31.0,4,4.0,158,0.601,0.563,5.1,14.7,10.6,15.5,3.7,3.0,18.4,9.6,124.0,102.0,11.7
Devean George,24.0,4,0.0,72,0.535,0.5,9.8,21.8,16.6,0.0,0.7,1.9,7.6,17.2,110.0,107.0,4.8
Brian Shaw,35.0,4,0.0,65,0.333,0.333,5.8,6.2,6.1,23.5,0.8,2.1,8.7,16.7,91.0,110.0,2.7
Samaki Walker,25.0,4,0.0,24,0.41,0.25,14.4,18.6,16.8,0.0,0.0,2.5,38.1,15.0,68.0,104.0,0.2
Lindsey Hunter,31.0,3,0.0,12,0.2,0.2,10.1,0.0,4.4,0.0,0.0,0.0,0.0,19.9,61.0,112.0,-0.7
Stanislav Medvedenko,22.0,2,0.0,9,1.0,1.0,12.6,0.0,5.4,0.0,0.0,0.0,0.0,4.8,200.0,115.0,0.6
Mitch Richmond,36.0,1,0.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,200.0,128.0,1.7
Mark Madsen,26.0,1,0.0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,107.0,0.0
Team Totals,27.8,4,,960,0.604,0.555,30.9,68.9,53.0,63.0,7.7,9.5,14.6,,116.6,106.5,
