Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Tim Duncan,26.0,6,6.0,264,0.546,0.495,10.0,30.1,21.1,25.5,1.2,8.6,14.8,27.8,109.0,83.0,24.1
Tony Parker,20.0,6,6.0,212,0.451,0.422,1.2,8.1,4.9,24.0,0.5,0.3,10.6,23.2,96.0,101.0,7.9
David Robinson,37.0,6,6.0,160,0.661,0.611,11.0,17.6,14.7,5.0,2.4,4.8,5.7,15.2,137.0,90.0,11.9
Stephen Jackson,24.0,6,6.0,213,0.468,0.459,2.0,10.1,6.6,12.8,1.8,0.6,28.2,20.3,74.0,97.0,3.7
Manu Ginóbili,25.0,6,0.0,171,0.471,0.38,6.4,10.2,8.6,12.3,4.2,1.3,15.3,17.7,98.0,92.0,7.1
Malik Rose,28.0,6,0.0,127,0.494,0.442,9.6,10.1,9.7,5.7,1.3,1.7,19.1,21.3,92.0,97.0,4.3
Speedy Claxton,24.0,6,0.0,76,0.611,0.56,1.1,6.7,4.1,24.5,3.0,4.0,11.7,21.2,116.0,92.0,5.2
Bruce Bowen,31.0,6,6.0,172,0.324,0.3,1.3,10.2,5.9,4.7,1.3,0.8,11.5,9.5,69.0,98.0,1.3
Steve Kerr,37.0,4,0.0,19,0.82,0.875,7.6,0.0,3.1,6.9,2.9,0.0,0.0,12.8,170.0,97.0,1.9
Kevin Willis,40.0,5,0.0,23,0.405,0.333,31.2,9.0,20.7,0.0,0.0,3.2,23.3,26.7,81.0,98.0,0.9
Danny Ferry,36.0,3,0.0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,103.0,0.0
Steve Smith,33.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.2,0.0,95.0,-0.7
Team Totals,27.8,6,,1440,0.507,0.459,30.5,70.0,51.9,56.5,8.9,14.4,15.4,,100.0,93.3,
