Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Richard Hamilton,25.0,5,5.0,224,0.5,0.424,6.4,7.6,7.1,18.7,1.0,0.0,17.7,28.4,99.0,101.0,11.9
Chauncey Billups,27.0,5,5.0,194,0.696,0.579,1.9,7.9,5.0,27.8,1.8,0.0,14.7,22.5,133.0,100.0,17.9
Rasheed Wallace,29.0,5,5.0,153,0.533,0.481,5.5,25.3,15.4,10.5,0.8,4.6,6.2,21.1,114.0,93.0,10.3
Ben Wallace,29.0,5,5.0,205,0.443,0.478,10.7,28.6,19.6,6.3,2.5,2.0,9.0,16.0,98.0,90.0,10.9
Tayshaun Prince,23.0,5,5.0,198,0.425,0.417,8.9,11.1,10.2,10.0,2.6,0.8,3.3,14.9,107.0,96.0,9.2
Corliss Williamson,30.0,5,0.0,53,0.541,0.4,9.2,17.9,13.5,4.4,0.0,0.0,17.1,21.6,106.0,99.0,2.3
Lindsey Hunter,33.0,5,0.0,64,0.458,0.353,1.6,10.8,6.2,12.3,2.6,3.3,4.8,15.8,111.0,93.0,2.5
Elden Campbell,35.0,5,0.0,68,0.417,0.375,10.1,12.3,11.3,22.5,4.2,3.5,12.8,17.0,97.0,89.0,3.4
Mehmet Okur,24.0,4,0.0,38,0.511,0.5,2.7,16.6,9.0,9.4,0.0,0.0,27.1,18.4,69.0,105.0,0.6
Mike James,28.0,5,0.0,17,0.5,0.5,10.5,9.6,10.5,28.4,0.0,0.0,20.0,11.4,110.0,103.0,1.0
Darvin Ham,30.0,4,0.0,7,1.0,1.0,15.4,0.0,8.6,0.0,0.0,0.0,50.0,11.9,83.0,99.0,0.1
Darko Miličić,18.0,3,0.0,4,0.0,0.0,28.8,25.5,26.3,0.0,14.5,0.0,25.8,44.1,15.0,73.0,-0.4
Team Totals,27.2,5,,1225,0.514,0.458,34.6,75.0,54.8,56.7,9.2,6.9,12.5,,106.7,96.1,
