Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Tim Duncan,28.0,7,7.0,285,0.471,0.419,14.4,26.1,20.4,12.0,0.6,3.5,10.0,30.0,103.0,100.0,15.9
Manu Ginóbili,27.0,7,7.0,252,0.636,0.565,3.8,14.7,9.5,24.0,2.1,0.2,18.2,25.1,117.0,104.0,14.1
Tony Parker,22.0,7,7.0,265,0.471,0.469,0.9,6.2,3.7,19.8,0.4,0.2,17.6,23.4,89.0,111.0,5.4
Robert Horry,34.0,7,0.0,204,0.611,0.583,7.8,11.8,10.1,14.4,2.1,1.7,11.7,17.3,124.0,104.0,9.5
Bruce Bowen,33.0,7,7.0,271,0.522,0.51,0.4,7.8,4.2,9.4,0.9,1.2,17.3,11.8,96.0,109.0,4.1
Nazr Mohammed,27.0,7,7.0,158,0.488,0.433,15.6,15.9,15.7,0.0,0.7,2.6,12.6,12.6,108.0,104.0,4.7
Brent Barry,33.0,7,0.0,142,0.548,0.519,2.4,9.7,6.3,13.9,1.7,1.1,21.5,13.0,100.0,107.0,3.1
Beno Udrih,22.0,5,0.0,46,0.505,0.455,5.7,7.1,6.5,16.2,1.3,0.0,40.2,23.2,68.0,107.0,0.6
Devin Brown,26.0,6,0.0,35,0.391,0.318,2.9,15.9,9.6,16.5,0.0,0.0,6.6,21.3,89.0,112.0,1.0
Rasho Nesterović,28.0,4,0.0,25,0.347,0.5,15.9,22.0,18.8,7.9,0.0,2.3,25.8,7.4,92.0,111.0,0.9
Glenn Robinson,32.0,3,0.0,14,0.2,0.2,0.0,23.7,12.7,0.0,0.0,15.0,16.7,20.8,36.0,87.0,0.3
Tony Massenburg,37.0,3,0.0,9,0.0,0.0,0.0,35.7,18.4,0.0,0.0,0.0,0.0,17.6,0.0,108.0,-0.5
Team Totals,28.4,7,,1705,0.518,0.48,31.0,68.2,50.4,53.2,5.6,7.9,15.5,,103.4,105.7,
