Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Dwyane Wade,24.0,6,6.0,261,0.572,0.478,4.8,15.1,10.1,20.3,3.3,1.8,10.8,36.9,113.0,97.0,25.4
Antoine Walker,29.0,6,6.0,219,0.456,0.448,1.9,14.8,8.2,11.3,0.9,1.1,11.7,21.9,90.0,102.0,7.0
Shaquille O'Neal,33.0,6,6.0,211,0.532,0.607,8.5,24.9,16.7,15.2,0.8,1.9,19.8,21.5,95.0,99.0,9.6
Jason Williams,30.0,6,6.0,188,0.483,0.46,0.0,6.9,3.4,25.2,0.9,0.0,12.7,15.7,103.0,105.0,6.3
James Posey,29.0,6,0.0,177,0.599,0.548,4.2,18.8,11.8,2.1,1.8,0.0,16.0,11.7,108.0,100.0,5.2
Udonis Haslem,25.0,6,6.0,175,0.483,0.5,10.7,12.5,11.6,1.9,2.0,0.0,25.7,14.1,83.0,101.0,3.4
Alonzo Mourning,35.0,6,0.0,66,0.711,0.692,7.2,23.7,15.8,0.0,1.6,10.4,18.0,15.6,119.0,89.0,4.2
Gary Payton,37.0,6,0.0,134,0.394,0.395,2.3,8.1,5.2,14.9,2.4,0.0,22.8,9.3,81.0,103.0,2.1
Shandon Anderson,32.0,4,0.0,31,0.387,0.333,9.5,16.4,13.5,17.1,0.0,0.0,34.0,18.5,73.0,95.0,0.6
Michael Doleac,28.0,1,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,93.0,0.0
Jason Kapono,24.0,1,0.0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,93.0,0.0
Team Totals,29.7,6,,1465,0.527,0.494,24.9,76.6,51.2,50.0,8.5,6.5,15.4,,101.0,99.9,
