Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Tony Parker,24.0,4,4.0,151,0.595,0.595,2.4,11.9,7.5,21.8,1.2,0.0,12.7,31.5,110.0,100.0,16.2
Tim Duncan,30.0,4,4.0,149,0.483,0.446,13.1,21.6,17.7,20.7,2.0,5.0,12.7,29.3,102.0,91.0,15.3
Manu Ginóbili,29.0,4,0.0,117,0.571,0.469,1.0,20.5,11.4,17.2,2.4,0.0,12.6,30.5,110.0,94.0,11.6
Bruce Bowen,35.0,4,4.0,167,0.417,0.426,2.2,11.7,7.3,5.2,0.7,0.5,9.4,9.6,87.0,100.0,3.8
Fabricio Oberto,31.0,4,4.0,83,0.464,0.471,10.3,12.7,11.6,3.4,0.7,0.0,17.9,13.7,90.0,100.0,2.4
Francisco Elson,30.0,4,0.0,46,0.976,1.0,16.5,10.3,13.1,0.0,1.2,0.0,26.8,12.3,144.0,102.0,3.8
Michael Finley,33.0,4,4.0,74,0.308,0.283,1.6,10.4,6.3,6.8,3.9,0.0,7.6,18.0,72.0,94.0,1.8
Brent Barry,35.0,4,0.0,42,0.545,0.545,2.8,12.0,7.7,7.3,1.4,0.0,21.4,16.9,86.0,99.0,1.6
Robert Horry,36.0,4,0.0,88,0.558,0.5,5.3,16.3,11.2,22.6,0.7,4.4,31.7,8.9,111.0,96.0,4.8
Jacque Vaughn,31.0,4,0.0,41,0.571,0.571,3.3,10.1,7.0,16.2,0.0,0.0,0.0,8.6,141.0,104.0,2.2
Beno Udrih,24.0,2,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114.0,0.0
Team Totals,30.8,4,,960,0.527,0.495,27.2,72.9,51.6,52.3,7.2,6.3,13.7,,104.4,97.2,
