Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Kobe Bryant,30.0,5,5.0,219,0.525,0.463,1.7,14.8,7.9,34.7,1.8,2.9,9.4,37.5,111.0,100.0,22.8
Pau Gasol,28.0,5,5.0,212,0.647,0.6,5.4,22.3,13.5,8.8,1.0,3.9,6.5,17.5,132.0,99.0,17.6
Lamar Odom,29.0,5,0.0,169,0.609,0.583,7.1,20.3,13.7,4.2,1.6,3.0,14.1,18.2,115.0,98.0,10.3
Trevor Ariza,23.0,5,5.0,188,0.455,0.446,6.0,16.8,10.9,6.5,2.6,0.5,7.6,16.9,99.0,101.0,7.7
Derek Fisher,34.0,5,5.0,179,0.616,0.583,2.0,9.5,5.4,8.0,1.8,0.0,6.3,12.9,127.0,103.0,8.5
Andrew Bynum,21.0,5,5.0,95,0.406,0.364,12.2,15.1,13.5,5.2,1.2,3.2,7.5,20.1,97.0,101.0,3.1
Luke Walton,28.0,5,0.0,76,0.752,0.8,4.6,13.1,8.6,9.4,0.7,0.0,13.7,9.1,141.0,103.0,3.4
Jordan Farmar,22.0,5,0.0,57,0.428,0.395,4.8,11.3,7.4,4.7,1.9,0.0,13.1,19.1,83.0,105.0,1.6
Josh Powell,26.0,2,0.0,11,0.625,0.625,19.1,17.6,18.3,15.5,0.0,0.0,33.3,26.6,94.0,93.0,1.5
Shannon Brown,23.0,3,0.0,16,0.0,0.0,6.7,0.0,3.2,0.0,0.0,0.0,0.0,5.9,38.0,104.0,-0.4
D.J. Mbenga,28.0,3,0.0,6,0.0,0.0,0.0,16.4,8.5,0.0,0.0,17.1,50.0,15.6,0.0,85.0,-0.2
Sasha Vujačić,24.0,5,0.0,22,0.0,0.0,0.0,10.3,5.4,11.7,0.0,0.0,14.3,15.4,16.0,104.0,-0.9
Team Totals,27.4,5,,1250,0.536,0.495,25.7,79.8,51.5,43.2,7.9,10.0,9.6,,110.8,100.5,
