Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Dirk Nowitzki,32.0,6,6.0,242,0.537,0.444,1.1,28.4,15.0,10.6,0.9,1.5,10.5,33.1,105.0,105.0,16.6
Jason Terry,33.0,6,0.0,195,0.605,0.565,2.0,6.3,4.1,19.0,2.3,0.0,8.2,24.5,122.0,111.0,13.4
Shawn Marion,32.0,6,6.0,215,0.522,0.479,8.4,13.7,11.2,13.4,1.3,1.7,15.1,21.3,103.0,109.0,10.0
Tyson Chandler,28.0,6,6.0,224,0.629,0.594,13.5,16.0,14.8,3.5,1.7,2.7,6.1,10.9,138.0,106.0,11.0
J.J. Barea,26.0,6,3.0,128,0.456,0.436,4.0,8.9,6.5,27.7,1.3,0.0,13.4,25.8,96.0,112.0,5.2
Jason Kidd,37.0,6,6.0,225,0.582,0.556,1.2,13.8,7.6,28.6,1.8,2.0,34.7,13.4,97.0,109.0,8.0
DeShawn Stevenson,29.0,6,3.0,103,0.815,0.813,1.3,9.0,5.3,3.9,2.1,0.8,3.7,12.7,154.0,108.0,5.8
Ian Mahinmi,24.0,3,0.0,27,0.625,0.6,13.4,10.2,11.8,0.0,1.9,0.0,0.0,13.0,143.0,109.0,1.5
Brian Cardinal,33.0,5,0.0,30,0.902,1.0,0.0,3.6,1.9,4.3,1.8,0.0,43.6,11.3,83.0,110.0,0.2
Brendan Haywood,31.0,3,0.0,25,0.443,0.333,10.5,20.5,16.1,0.0,2.3,10.1,15.1,13.0,94.0,96.0,1.6
Peja Stojaković,33.0,4,0.0,26,0.2,0.2,0.0,14.3,7.2,0.0,4.5,0.0,28.6,13.7,25.0,105.0,-0.5
Team Totals,31.5,6,,1440,0.563,0.513,24.8,72.8,49.5,55.1,8.4,7.5,13.5,,110.7,107.9,
