Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
LeBron James,27.0,5,5.0,220,0.558,0.486,8.6,19.5,14.1,31.0,2.0,0.7,12.9,32.0,117.0,109.0,23.6
Dwyane Wade,30.0,5,5.0,203,0.516,0.446,3.7,14.0,9.0,25.0,1.9,2.4,11.3,29.2,108.0,109.0,16.4
Chris Bosh,27.0,5,4.0,183,0.525,0.468,10.4,20.9,15.8,0.9,0.9,2.8,6.7,19.5,112.0,109.0,11.9
Shane Battier,33.0,5,5.0,187,0.851,0.855,1.3,9.5,5.6,1.6,1.2,0.0,2.9,9.0,163.0,114.0,9.3
Mario Chalmers,25.0,5,5.0,183,0.564,0.535,0.7,7.9,4.4,17.4,2.7,0.9,17.8,14.7,108.0,110.0,8.4
Mike Miller,31.0,5,0.0,44,0.832,0.781,2.6,20.7,12.3,6.9,1.1,1.8,0.0,19.6,161.0,110.0,5.2
Norris Cole,23.0,4,0.0,44,0.433,0.433,0.0,10.9,5.7,0.0,0.0,0.0,6.3,17.3,80.0,115.0,0.4
Udonis Haslem,31.0,5,1.0,81,0.514,0.4,12.2,21.4,16.7,3.0,0.0,2.1,28.3,10.5,99.0,113.0,2.1
James Jones,31.0,4,0.0,43,0.751,0.667,3.1,14.0,8.7,0.0,1.3,0.0,21.5,10.3,121.0,110.0,1.8
Terrel Harris,24.0,1,0.0,3,0.852,,0.0,37.0,20.1,0.0,0.0,0.0,0.0,26.8,187.0,110.0,2.9
Joel Anthony,29.0,1,0.0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,127.0,0.0
Juwan Howard,38.0,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,121.0,-0.7
Ronny Turiaf,29.0,1,0.0,3,,,0.0,37.0,20.1,0.0,0.0,0.0,,0.0,,110.0,0.3
Team Totals,28.4,5,,1200,0.575,0.518,25.8,75.6,51.4,50.6,7.5,6.4,11.4,,115.1,110.6,
