Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
LeBron James,28.0,7,7.0,301,0.529,0.487,6.7,22.9,14.9,30.1,2.9,1.7,9.7,29.7,113.0,105.0,22.5
Dwyane Wade,31.0,7,7.0,255,0.505,0.476,4.2,9.1,6.6,23.3,2.7,3.0,10.5,28.5,104.0,108.0,14.9
Chris Bosh,28.0,7,7.0,240,0.491,0.462,9.8,20.6,15.5,10.3,3.0,3.9,7.6,18.5,108.0,104.0,12.1
Ray Allen,37.0,7,0.0,193,0.715,0.674,1.2,9.5,5.0,8.6,0.3,0.0,14.8,15.2,121.0,116.0,7.1
Mario Chalmers,26.0,7,7.0,221,0.509,0.485,0.5,10.8,5.3,9.9,1.2,0.0,19.8,19.7,87.0,112.0,4.6
Shane Battier,34.0,7,0.0,87,0.689,0.667,2.7,12.0,7.3,10.2,0.6,1.9,0.0,15.4,141.0,110.0,4.5
Mike Miller,32.0,7,4.0,152,0.841,0.841,1.5,14.8,7.7,5.4,1.4,1.1,8.3,7.7,131.0,112.0,4.9
Chris Andersen,34.0,5,0.0,71,0.714,0.727,9.9,14.8,12.4,0.0,3.2,3.4,20.6,13.6,118.0,103.0,3.7
Norris Cole,24.0,5,0.0,82,0.328,0.318,1.5,5.4,3.6,22.0,2.6,1.0,17.9,16.8,75.0,115.0,1.6
Udonis Haslem,32.0,6,3.0,64,0.477,0.444,7.6,26.7,16.2,0.0,0.0,1.3,9.6,8.1,102.0,114.0,0.8
James Jones,32.0,3,0.0,12,0.6,0.6,0.0,8.9,4.6,0.0,0.0,7.3,16.7,25.0,96.0,121.0,0.8
Rashard Lewis,33.0,3,0.0,12,0.333,0.333,9.3,9.7,10.9,31.9,0.0,0.0,25.0,33.0,65.0,125.0,0.3
Joel Anthony,30.0,4,0.0,15,0.5,0.5,31.3,22.0,26.5,0.0,0.0,0.0,0.0,6.8,146.0,117.0,1.1
Team Totals,30.3,7,,1705,0.545,0.515,24.0,73.9,48.7,56.5,9.7,8.8,11.8,,108.5,109.3,
