Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Tony Parker,31.0,5,5.0,176,0.55,0.514,0.0,1.6,0.8,22.2,1.3,0.0,10.9,25.9,110.0,110.0,11.6
Kawhi Leonard,22.0,5,5.0,167,0.753,0.724,6.8,18.9,12.9,9.8,2.7,3.7,13.2,20.5,136.0,101.0,15.8
Tim Duncan,37.0,5,5.0,165,0.608,0.569,10.2,30.0,20.6,9.8,0.7,2.3,15.9,22.5,114.0,105.0,12.9
Manu Ginóbili,36.0,5,0.0,143,0.654,0.604,0.0,14.0,7.3,24.8,1.9,0.7,17.9,23.1,118.0,105.0,10.9
Patty Mills,25.0,5,0.0,76,0.729,0.729,2.3,10.7,6.8,19.1,1.4,0.0,2.8,23.6,139.0,107.0,8.2
Danny Green,26.0,5,5.0,106,0.681,0.672,3.1,10.0,6.5,9.9,5.2,2.0,15.1,18.8,112.0,98.0,7.6
Boris Diaw,31.0,5,3.0,176,0.424,0.409,7.0,26.1,16.6,22.5,1.3,0.7,18.0,12.6,108.0,105.0,8.5
Tiago Splitter,29.0,5,2.0,84,0.74,0.706,5.7,23.1,14.3,17.6,2.0,3.5,22.3,15.8,126.0,103.0,6.4
Marco Belinelli,27.0,5,0.0,59,0.613,0.588,0.0,13.5,6.9,7.9,0.9,0.0,13.8,18.1,105.0,110.0,2.9
Aron Baynes,27.0,3,0.0,6,1.042,1.0,41.9,0.0,20.5,0.0,0.0,0.0,0.0,23.8,222.0,111.0,2.3
Jeff Ayres,26.0,3,0.0,7,0.906,1.0,22.4,24.6,23.8,18.5,0.0,0.0,0.0,21.4,197.0,107.0,1.9
Matt Bonner,33.0,4,0.0,27,0.906,1.0,0.0,15.5,8.3,24.5,2.1,0.0,0.0,5.3,205.0,105.0,2.2
Cory Joseph,22.0,3,0.0,8,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,46.0,110.0,0.0
Team Totals,29.2,5,,1200,0.635,0.604,22.7,84.3,54.0,66.5,9.1,7.1,13.9,,120.8,104.8,
