Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
LeBron James,31.0,7,7.0,292,0.562,0.533,6.8,24.1,15.5,44.1,3.2,5.9,14.4,33.4,114.0,101.0,26.5
Kyrie Irving,23.0,7,7.0,273,0.564,0.516,3.4,7.9,5.7,18.4,2.9,2.0,9.7,30.9,116.0,109.0,19.1
J.R. Smith,30.0,7,7.0,261,0.537,0.523,0.9,7.2,4.2,6.5,2.0,0.7,6.8,12.8,111.0,113.0,6.8
Tristan Thompson,24.0,7,7.0,226,0.629,0.636,13.6,21.2,18.1,3.0,0.4,2.8,5.0,12.1,137.0,109.0,11.0
Kevin Love,27.0,6,5.0,158,0.468,0.415,5.8,23.7,14.6,8.3,1.3,1.4,14.2,18.2,95.0,111.0,5.9
Richard Jefferson,35.0,7,2.0,168,0.558,0.532,8.3,16.7,12.6,2.1,2.7,0.6,18.2,11.7,106.0,107.0,5.2
Iman Shumpert,25.0,7,0.0,128,0.432,0.391,2.7,7.0,4.9,0.8,0.4,1.7,22.3,11.0,75.0,115.0,0.6
Matthew Dellavedova,25.0,6,0.0,46,0.37,0.289,4.9,2.8,3.8,23.6,0.0,0.0,12.2,24.2,85.0,122.0,0.7
Mo Williams,33.0,6,0.0,29,0.375,0.375,0.0,11.3,6.0,5.9,5.4,0.0,29.4,26.4,46.0,103.0,0.1
Dahntay Jones,35.0,6,0.0,18,0.645,0.5,0.0,11.8,6.4,0.0,0.0,6.1,0.0,15.5,141.0,111.0,1.0
Timofey Mozgov,29.0,5,0.0,25,0.451,0.333,13.5,23.0,18.4,0.0,6.1,3.2,34.0,20.8,72.0,97.0,0.7
Jordan McRae,24.0,1,0.0,3,1.0,1.0,0.0,37.8,19.4,0.0,0.0,0.0,0.0,29.2,200.0,96.0,3.7
Channing Frye,32.0,4,0.0,33,0.258,0.0,0.0,11.3,5.2,0.0,0.0,6.4,0.0,5.3,66.0,114.0,0.1
James Jones,35.0,5,0.0,20,0.181,0.0,0.0,13.1,6.1,10.1,0.0,0.0,0.0,6.3,75.0,117.0,0.1
Team Totals,28.1,7,,1680,0.54,0.504,28.4,75.8,52.4,47.9,10.1,11.7,12.5,,109.1,108.5,
