Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Kawhi Leonard,27.0,6,6.0,243,0.606,0.5,7.3,21.4,14.2,17.0,2.5,2.9,11.3,28.9,122.0,107.0,23.9
Pascal Siakam,24.0,6,6.0,241,0.56,0.531,5.8,16.2,11.1,15.7,0.6,1.6,7.8,21.3,116.0,113.0,15.8
Kyle Lowry,32.0,6,6.0,229,0.549,0.513,1.5,11.1,6.4,28.5,2.2,1.4,14.5,20.1,112.0,111.0,13.0
Fred VanVleet,24.0,6,0.0,195,0.607,0.571,2.3,7.4,4.8,10.3,1.7,0.0,8.0,17.0,121.0,114.0,10.3
Marc Gasol,34.0,6,6.0,173,0.616,0.511,3.3,27.3,15.1,13.5,0.9,1.2,10.7,16.9,124.0,110.0,10.1
Serge Ibaka,29.0,6,0.0,116,0.61,0.58,10.9,20.5,15.5,10.1,2.1,8.1,12.6,24.6,115.0,104.0,9.3
Danny Green,31.0,6,6.0,163,0.537,0.537,4.7,9.9,7.5,5.9,2.2,1.8,16.3,13.3,94.0,110.0,5.1
Norman Powell,25.0,6,0.0,66,0.396,0.346,0.0,11.5,5.4,9.3,1.5,0.0,12.6,10.3,84.0,113.0,1.1
Patrick McCaw,23.0,4,0.0,12,0.75,0.75,0.0,0.0,0.0,21.1,0.0,0.0,0.0,7.6,170.0,122.0,0.9
Jeremy Lin,30.0,1,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122.0,0.0
Jodie Meeks,31.0,1,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122.0,0.0
Malcolm Miller,25.0,1,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,122.0,0.0
Team Totals,27.8,6,,1440,0.581,0.526,23.5,78.0,50.4,60.0,8.5,10.0,11.2,,116.0,110.1,
