Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
LeBron James,35.0,6,6.0,236,0.671,0.657,5.8,30.0,17.5,40.4,1.5,1.3,13.6,29.0,131.0,110.0,27.5
Anthony Davis,26.0,6,6.0,229,0.669,0.612,9.6,23.1,16.3,14.9,1.8,5.2,12.5,24.8,128.0,108.0,22.8
Kentavious Caldwell-Pope,26.0,6,6.0,188,0.512,0.471,2.4,8.7,5.3,9.9,1.6,0.5,5.1,18.8,113.0,114.0,8.4
Rajon Rondo,33.0,6,0.0,156,0.495,0.459,4.4,20.2,11.7,29.5,2.0,0.0,16.0,17.8,110.0,111.0,8.6
Kyle Kuzma,24.0,6,0.0,130,0.487,0.448,5.3,9.3,7.4,2.9,0.4,0.7,11.8,20.2,94.0,117.0,3.7
Danny Green,32.0,6,6.0,137,0.451,0.439,3.2,11.1,7.1,7.1,2.3,3.3,9.1,17.8,93.0,110.0,4.8
Markieff Morris,30.0,6,0.0,128,0.554,0.526,4.4,14.8,9.1,8.7,0.0,0.0,12.9,16.2,106.0,118.0,4.1
Alex Caruso,25.0,6,1.0,149,0.567,0.533,5.2,6.0,5.8,12.3,1.7,0.6,19.3,12.4,111.0,114.0,5.3
Dwight Howard,34.0,6,5.0,71,0.767,0.813,9.9,17.1,13.7,7.7,0.7,3.1,31.1,10.0,120.0,117.0,2.5
Quinn Cook,26.0,2,0.0,3,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,76.0,110.0,1.0
J.R. Smith,34.0,3,0.0,10,0.5,0.5,0.0,13.5,5.9,0.0,4.8,0.0,0.0,12.8,99.0,112.0,0.5
Jared Dudley,34.0,3,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.0,15.8,0.0,78.0,0.0
Team Totals,29.5,6,,1440,0.582,0.547,27.3,83.7,54.5,63.3,7.3,9.0,12.6,,118.1,112.2,
