Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Giannis Antetokounmpo,26.0,6,6.0,239,0.658,0.63,10.8,27.1,18.5,22.4,1.5,4.0,8.0,31.6,135.0,111.0,31.9
Khris Middleton,29.0,6,6.0,255,0.542,0.512,0.8,17.3,8.5,19.2,1.8,0.0,12.5,25.9,108.0,115.0,16.2
Jrue Holiday,30.0,6,6.0,250,0.441,0.412,2.8,13.9,8.2,31.2,2.6,1.4,10.3,21.9,107.0,113.0,15.2
Brook Lopez,32.0,6,6.0,147,0.553,0.526,7.7,17.3,12.3,1.3,1.4,2.6,8.8,20.2,111.0,115.0,8.2
Pat Connaughton,28.0,6,0.0,180,0.659,0.663,5.6,17.0,11.0,5.1,0.3,0.0,10.7,11.2,127.0,120.0,7.3
Bobby Portis,25.0,6,0.0,100,0.545,0.513,11.1,16.3,13.7,1.5,2.1,1.7,2.3,18.8,123.0,110.0,6.3
P.J. Tucker,35.0,6,6.0,188,0.6,0.6,6.5,6.8,6.7,4.7,1.6,0.0,13.0,5.3,130.0,117.0,4.2
Bryn Forbes,27.0,3,0.0,22,0.45,0.45,0.0,5.0,2.4,0.0,2.3,0.0,9.1,22.1,83.0,120.0,0.9
Jeff Teague,32.0,6,0.0,56,0.356,0.25,4.3,6.5,5.2,8.4,2.8,0.0,19.2,12.3,81.0,117.0,1.1
Jordan Nwora,22.0,1,0.0,1,1.5,1.5,0.0,92.3,44.5,0.0,0.0,0.0,0.0,33.4,300.0,98.0,3.0
Thanasis Antetokounmpo,28.0,1,0.0,2,0.0,0.0,72.0,100.0,100.0,0.0,0.0,0.0,0.0,56.1,45.0,87.0,-0.5
Elijah Bryant,25.0,1,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,139.0,0.0
Sam Merrill,24.0,1,0.0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,112.0,0.0
Team Totals,28.7,6,,1440,0.56,0.529,29.2,82.6,54.3,55.0,8.4,6.2,9.8,,117.0,114.5,
