Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Stephen Curry,33.0,6,6.0,225,0.626,0.595,0.9,17.4,8.9,25.1,2.7,0.4,9.1,32.7,119.0,106.0,23.2
Andrew Wiggins,26.0,6,6.0,235,0.515,0.5,5.6,19.4,12.5,8.8,2.0,3.8,9.3,22.6,103.0,105.0,14.1
Klay Thompson,31.0,6,6.0,230,0.484,0.455,0.9,8.1,4.5,8.1,1.8,1.3,6.2,22.0,99.0,111.0,9.7
Jordan Poole,22.0,6,0.0,125,0.591,0.556,0.9,9.7,5.1,15.3,1.2,0.8,15.2,28.4,104.0,113.0,7.4
Draymond Green,31.0,6,6.0,217,0.391,0.357,6.9,18.7,12.5,22.8,2.3,1.8,24.1,12.8,97.0,106.0,7.5
Gary Payton II,29.0,5,0.0,93,0.663,0.636,4.7,14.3,9.5,11.0,4.4,2.1,7.0,13.9,135.0,95.0,7.4
Otto Porter Jr.,28.0,6,3.0,102,0.867,0.853,2.3,12.1,6.8,8.5,3.0,1.1,10.1,8.8,149.0,110.0,5.7
Kevon Looney,25.0,6,3.0,130,0.656,0.636,17.7,20.9,19.6,17.9,1.5,4.2,30.4,11.4,124.0,105.0,7.3
Nemanja Bjelica,33.0,5,0.0,29,0.563,0.563,2.8,27.3,15.7,4.7,3.5,0.0,20.0,15.5,94.0,96.0,1.4
Andre Iguodala,38.0,4,0.0,19,0.875,0.875,0.0,0.0,0.0,40.1,0.0,0.0,20.0,11.6,157.0,129.0,1.7
Moses Moody,19.0,4,0.0,11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,4.1,200.0,109.0,0.6
Jonathan Kuminga,19.0,4,0.0,8,0.0,0.0,0.0,15.0,7.7,0.0,0.0,0.0,0.0,6.0,0.0,111.0,-0.1
Damion Lee,29.0,4,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,116.0,-0.7
Juan Toscano-Anderson,28.0,4,0.0,8,0.0,0.0,0.0,28.5,14.1,40.7,0.0,0.0,66.7,17.2,52.0,108.0,-0.2
Team Totals,27.7,6,,1440,0.56,0.533,22.7,76.7,49.1,60.5,10.9,9.5,12.3,,110.8,106.6,
