Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Nikola Jokić,27.0,5,5.0,206,0.672,0.625,6.0,29.8,19.4,30.7,1.0,2.9,13.1,30.1,129.0,102.0,27.7
Jamal Murray,25.0,5,5.0,211,0.551,0.516,3.2,12.0,8.1,37.7,1.3,0.0,14.9,25.7,113.0,109.0,18.0
Aaron Gordon,27.0,5,5.0,178,0.641,0.656,6.5,16.7,12.0,13.4,1.2,1.5,5.2,15.6,133.0,108.0,13.5
Bruce Brown,26.0,5,0.0,134,0.561,0.533,4.4,13.9,9.5,6.2,2.0,2.6,13.6,20.9,101.0,106.0,8.2
Michael Porter Jr.,24.0,5,5.0,147,0.39,0.362,6.0,23.5,15.8,4.4,0.0,1.1,3.1,20.6,88.0,106.0,5.9
Kentavious Caldwell-Pope,29.0,5,5.0,171,0.504,0.435,3.0,7.9,5.8,5.5,2.2,3.1,9.8,11.3,106.0,107.0,6.4
Christian Braun,21.0,5,0.0,82,0.692,0.706,6.4,7.0,6.7,11.7,3.3,2.1,12.5,13.7,126.0,104.0,6.0
Jeff Green,36.0,5,0.0,65,1.031,1.0,2.3,1.5,1.9,8.3,0.8,0.0,14.7,10.2,169.0,116.0,4.1
Thomas Bryant,25.0,1,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113.0,0.0
Vlatko Čančar,25.0,1,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113.0,0.0
Reggie Jackson,32.0,1,0.0,1,0.0,0.0,0.0,63.1,38.1,84.6,0.0,0.0,0.0,33.1,62.0,89.0,0.3
DeAndre Jordan,34.0,1,0.0,3,,,0.0,0.0,0.0,0.0,0.0,26.1,,0.0,,84.0,0.7
Zeke Nnaji,22.0,1,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113.0,0.0
Peyton Watson,20.0,1,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113.0,0.0
Team Totals,26.7,5,,1200,0.585,0.55,23.9,79.7,55.2,64.5,6.8,9.2,11.1,,115.5,106.4,
