Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Jayson Tatum,25.0,5,5.0,201,0.505,0.439,2.2,20.1,10.9,30.7,1.3,1.3,12.7,29.7,105.0,107.0,16.4
Jaylen Brown,27.0,5,5.0,193,0.535,0.488,2.3,13.9,8.0,23.0,2.2,1.7,12.6,27.4,106.0,107.0,14.9
Jrue Holiday,33.0,5,5.0,189,0.623,0.607,7.7,14.4,11.0,16.3,0.8,1.6,10.8,16.2,125.0,110.0,13.4
Derrick White,29.0,5,5.0,184,0.591,0.546,4.2,11.1,7.5,10.7,1.7,2.5,9.3,16.6,118.0,109.0,11.6
Sam Hauser,26.0,5,0.0,78,0.735,0.722,7.2,14.7,10.9,6.4,0.7,0.0,0.0,17.0,144.0,113.0,6.9
Kristaps Porziņģis,28.0,3,0.0,60,0.672,0.625,0.0,20.1,10.1,2.7,0.0,7.2,3.5,22.2,130.0,100.0,10.0
Al Horford,37.0,5,5.0,150,0.676,0.68,3.7,20.2,11.7,13.4,2.1,1.7,10.4,9.1,136.0,106.0,8.8
Payton Pritchard,26.0,5,0.0,62,0.304,0.304,3.6,9.6,6.4,23.6,0.8,0.0,9.7,24.1,65.0,117.0,0.9
Oshae Brissett,25.0,3,0.0,19,0.717,0.625,6.0,12.9,9.3,0.0,0.0,4.8,0.0,12.8,146.0,127.0,2.3
Xavier Tillman Sr.,25.0,2,0.0,19,0.872,0.833,12.1,20.9,16.1,11.4,0.0,8.4,22.5,11.7,136.0,114.0,3.5
Svi Mykhailiuk,26.0,3,0.0,13,0.313,0.313,0.0,13.9,8.6,0.0,0.0,0.0,0.0,29.4,53.0,127.0,0.3
Luke Kornet,28.0,3,0.0,15,0.5,0.5,14.7,0.0,7.2,21.7,3.5,0.0,0.0,6.3,143.0,120.0,1.3
Neemias Queta,24.0,1,0.0,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,9.0,200.0,129.0,2.4
Jaden Springer,21.0,1,0.0,8,0.0,0.0,0.0,29.9,14.4,0.0,0.0,0.0,0.0,6.1,0.0,130.0,-0.1
Jordan Walsh,19.0,1,0.0,5,0.0,0.0,0.0,22.2,10.7,0.0,0.0,0.0,0.0,18.0,0.0,132.0,-1.1
Team Totals,28.5,5,,1200,0.558,0.52,20.9,77.8,48.8,66.5,6.8,10.1,10.1,,112.0,109.4,
