Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc
Shai Gilgeous-Alexander,26.0,7,7.0,267,0.561,0.468,0.9,13.2,6.9,27.3,2.4,4.0,11.3,34.2,114.0,108.0,21.8
Jalen Williams,23.0,7,7.0,243,0.541,0.465,3.3,13.5,8.3,19.2,1.2,0.0,9.0,29.6,112.0,113.0,15.3
Chet Holmgren,22.0,7,7.0,212,0.489,0.414,7.3,26.7,16.8,3.0,0.9,5.6,10.2,19.8,100.0,108.0,9.4
Alex Caruso,30.0,7,0.0,202,0.583,0.528,4.9,9.1,7.0,7.8,4.2,3.1,11.6,14.6,117.0,106.0,9.4
Luguentz Dort,25.0,7,7.0,220,0.609,0.611,5.0,11.1,8.1,3.1,2.5,1.4,6.0,9.7,127.0,110.0,7.1
Cason Wallace,21.0,7,3.0,156,0.54,0.539,3.5,9.6,6.6,4.5,3.8,2.6,9.3,11.8,102.0,107.0,5.2
Aaron Wiggins,26.0,7,0.0,100,0.548,0.515,2.5,13.5,7.9,7.4,1.9,1.9,17.6,19.3,94.0,110.0,3.5
Isaiah Hartenstein,26.0,7,4.0,134,0.649,0.609,15.4,24.8,19.8,17.6,2.2,1.4,18.9,11.9,134.0,107.0,7.9
Isaiah Joe,25.0,5,0.0,41,0.838,0.808,0.0,8.5,4.4,5.5,1.2,0.0,12.3,17.3,134.0,114.0,3.3
Jaylin Williams,22.0,3,0.0,15,1.025,1.125,0.0,42.2,22.9,14.1,3.2,0.0,17.0,17.8,144.0,96.0,3.2
Kenrich Williams,30.0,7,0.0,55,0.322,0.35,11.0,14.2,12.9,9.6,0.0,2.1,15.5,10.2,91.0,114.0,1.1
Dillon Jones,23.0,3,0.0,10,1.0,1.0,12.5,10.2,11.2,27.4,0.0,0.0,33.3,13.8,139.0,113.0,1.1
Ajay Mitchell,22.0,4,0.0,19,0.254,0.143,14.0,11.5,13.8,42.8,0.0,0.0,27.6,24.6,73.0,115.0,0.7
Ousmane Dieng,21.0,3,0.0,6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,17.1,0.0,24.2,89.0,107.0,0.7
Team Totals,24.9,7,,1680,0.557,0.497,25.7,74.1,49.3,47.5,10.9,12.4,12.3,,111.6,108.8,
