Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Pascal Siakam,30.0,7,234,44,97,10,28,37,47,16,38,54,26,11,9,12,18,135,0.454,0.357,0.787,33.4,19.3,7.7,3.7,1.6,1.3
1,Tyrese Haliburton,24.0,7,210,37,81,16,45,8,8,2,30,32,41,8,4,22,9,98,0.457,0.356,1.0,30.0,14.0,4.6,5.9,1.1,0.6
2,Bennedict Mathurin,22.0,7,144,24,57,7,21,32,41,18,18,36,9,4,5,9,13,87,0.421,0.333,0.78,20.6,12.4,5.1,1.3,0.6,0.7
3,T.J. McConnell,32.0,7,142,37,67,3,5,7,9,3,22,25,30,15,1,19,11,84,0.552,0.6,0.778,20.3,12.0,3.6,4.3,2.1,0.1
4,Andrew Nembhard,25.0,7,237,27,58,11,26,17,22,6,16,22,26,9,1,17,21,82,0.466,0.423,0.773,33.9,11.7,3.1,3.7,1.3,0.1
5,Obi Toppin,26.0,7,166,29,64,13,36,6,12,4,31,35,8,5,3,10,13,77,0.453,0.361,0.5,23.7,11.0,5.0,1.1,0.7,0.4
6,Myles Turner,28.0,7,190,23,61,6,28,22,29,9,22,31,10,2,10,14,20,74,0.377,0.214,0.759,27.1,10.6,4.4,1.4,0.3,1.4
7,Aaron Nesmith,25.0,7,189,22,57,17,36,5,7,9,32,41,7,6,5,10,32,66,0.386,0.472,0.714,27.0,9.4,5.9,1.0,0.9,0.7
8,Ben Sheppard,23.0,7,95,8,18,4,12,0,0,4,11,15,1,5,1,4,12,20,0.444,0.333,,13.6,2.9,2.1,0.1,0.7,0.1
9,Thomas Bryant,27.0,6,32,3,6,2,5,2,4,0,2,2,1,0,1,0,7,10,0.5,0.4,0.5,5.3,1.7,0.3,0.2,0.0,0.2
10,Tony Bradley,27.0,3,24,2,4,0,0,5,6,4,3,7,0,0,0,2,5,9,0.5,,0.833,8.0,3.0,2.3,0.0,0.0,0.0
11,Johnny Furphy,20.0,4,12,1,1,0,0,0,1,0,1,1,0,0,0,1,1,2,1.0,,0.0,3.0,0.5,0.3,0.0,0.0,0.0
12,James Johnson,37.0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,,,2.5,1.0,0.0,0.0,0.0,0.0
13,Team Totals,,7,1680,258,573,89,242,141,186,75,226,301,159,65,40,120,164,746,0.45,0.368,0.758,240.0,106.6,43.0,22.7,9.3,5.7
