Unnamed: 0,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1
0,Victor Wembanyama,22.0,5,199,44,104,9,33,33,42,18,38,56,13,5,18,13,11,130,0.423,0.273,0.786,39.8,26.0,11.2,2.6,1.0,3.6
1,Dylan Harper,19.0,5,155,35,71,7,25,13,17,4,28,32,15,2,1,6,14,90,0.493,0.28,0.765,31.0,18.0,6.4,3.0,0.4,0.2
2,Stephon Castle,21.0,5,158,23,61,6,20,21,26,7,20,27,21,3,1,14,20,73,0.377,0.3,0.808,31.6,14.6,5.4,4.2,0.6,0.2
3,De'Aaron Fox,28.0,5,183,24,70,7,28,9,10,2,13,15,30,7,4,14,15,64,0.343,0.25,0.9,36.6,12.8,3.0,6.0,1.4,0.8
4,Devin Vassell,25.0,5,192,22,41,14,30,6,7,5,29,34,14,3,2,3,9,64,0.537,0.467,0.857,38.4,12.8,6.8,2.8,0.6,0.4
5,Julian Champagnie,24.0,5,158,18,44,15,37,4,6,5,22,27,9,6,2,4,9,55,0.409,0.405,0.667,31.6,11.0,5.4,1.8,1.2,0.4
6,Keldon Johnson,26.0,5,75,8,23,3,8,3,8,5,10,15,3,3,0,3,11,22,0.348,0.375,0.375,15.0,4.4,3.0,0.6,0.6,0.0
7,Carter Bryant,20.0,5,23,3,5,2,3,1,2,0,3,3,0,1,1,2,6,9,0.6,0.667,0.5,4.6,1.8,0.6,0.0,0.2,0.2
8,Luke Kornet,30.0,5,42,0,2,0,0,3,4,4,7,11,2,4,0,1,11,3,0.0,,0.75,8.4,0.6,2.2,0.4,0.8,0.0
9,Harrison Barnes,33.0,2,17,0,2,0,2,0,1,1,1,2,1,0,0,0,1,0,0.0,0.0,0.0,8.5,0.0,1.0,0.5,0.0,0.0
10,Team Totals,,5,1202,177,423,63,186,93,123,51,171,222,108,34,29,60,107,510,0.418,0.339,0.756,240.4,102.0,44.4,21.6,6.8,5.8
