,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,John Havlicek,28.0,7,336,74,162,,,50,59,,,77,31,,,,25,198,0.457,,0.847,48.0,28.3,11.0,4.4,,
1,Sam Jones,35.0,7,211,56,119,,,19,23,,,25,16,,,,23,131,0.471,,0.826,30.1,18.7,3.6,2.3,,
2,Larry Siegfried,29.0,7,181,36,92,,,26,29,,,18,20,,,,30,98,0.391,,0.897,25.9,14.0,2.6,2.9,,
3,Don Nelson,28.0,7,141,32,76,,,19,24,,,41,8,,,,24,83,0.421,,0.792,20.1,11.9,5.9,1.1,,
4,Em Bryant,30.0,7,233,31,77,,,15,17,,,35,19,,,,27,77,0.403,,0.882,33.3,11.0,5.0,2.7,,
5,Bailey Howell,32.0,7,193,31,93,,,12,20,,,37,4,,,,34,74,0.333,,0.6,27.6,10.6,5.3,0.6,,
6,Bill Russell,34.0,7,336,25,63,,,14,24,,,148,36,,,,29,64,0.397,,0.583,48.0,9.1,21.1,5.1,,
7,Tom Sanders,30.0,5,39,6,13,,,2,2,,,6,1,,,,13,14,0.462,,1.0,7.8,2.8,1.2,0.2,,
8,Don Chaney,22.0,2,10,0,1,,,2,3,,,1,0,,,,4,2,0.0,,0.667,5.0,1.0,0.5,0.0,,
9,Team Totals,,7,1680,291,696,,,159,201,,,388,135,,,,209,741,0.418,,0.791,240.0,105.9,55.4,19.3,,
