,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Willis Reed,27.0,6,226,59,122,,,20,34,,,63,17,,,,15,138,0.484,,0.588,37.7,23.0,10.5,2.8,,
1,Dave DeBusschere,29.0,7,267,60,132,,,13,18,,,88,18,,,,24,133,0.455,,0.722,38.1,19.0,12.6,2.6,,
2,Dick Barnett,33.0,7,284,52,116,,,26,32,,,16,30,,,,31,130,0.448,,0.813,40.6,18.6,2.3,4.3,,
3,Walt Frazier,24.0,7,302,46,85,,,31,40,,,54,73,,,,21,123,0.541,,0.775,43.1,17.6,7.7,10.4,,
4,Bill Bradley,26.0,7,249,38,98,,,9,10,,,28,19,,,,25,85,0.388,,0.9,35.6,12.1,4.0,2.7,,
5,Cazzie Russell,25.0,7,130,29,59,,,7,7,,,25,10,,,,14,65,0.492,,1.0,18.6,9.3,3.6,1.4,,
6,Dave Stallworth,28.0,7,98,21,47,,,7,7,,,33,11,,,,13,49,0.447,,1.0,14.0,7.0,4.7,1.6,,
7,Mike Riordan,24.0,7,91,12,31,,,6,7,,,13,10,,,,14,30,0.387,,0.857,13.0,4.3,1.9,1.4,,
8,Nate Bowman,26.0,7,68,13,27,,,3,5,,,21,2,,,,16,29,0.481,,0.6,9.7,4.1,3.0,0.3,,
9,Bill Hosket,23.0,2,9,1,4,,,0,0,,,1,1,,,,2,2,0.25,,,4.5,1.0,0.5,0.5,,
10,John Warren,22.0,4,6,1,1,,,0,0,,,0,1,,,,3,2,1.0,,,1.5,0.5,0.0,0.3,,
11,Team Totals,,7,1730,332,722,,,122,160,,,342,192,,,,178,786,0.46,,0.763,247.1,112.3,48.9,27.4,,
