,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Kareem Abdul-Jabbar,23.0,4,168,46,76,,,16,21,,,74,11,,,,12,108,0.605,,0.762,42.0,27.0,18.5,2.8,,
1,Oscar Robertson,32.0,4,164,34,65,,,26,32,,,20,38,,,,15,94,0.523,,0.813,41.0,23.5,5.0,9.5,,
2,Bob Dandridge,23.0,4,157,35,67,,,11,16,,,39,13,,,,13,81,0.522,,0.688,39.3,20.3,9.8,3.3,,
3,Jon McGlocklin,27.0,4,122,17,32,,,9,10,,,4,11,,,,9,43,0.531,,0.9,30.5,10.8,1.0,2.8,,
4,Greg Smith,24.0,4,132,18,39,,,4,8,,,33,7,,,,12,40,0.462,,0.5,33.0,10.0,8.3,1.8,,
5,Lucius Allen,23.0,4,88,10,26,,,10,11,,,11,7,,,,8,30,0.385,,0.909,22.0,7.5,2.8,1.8,,
6,Bob Boozer,33.0,4,77,8,18,,,6,7,,,19,3,,,,12,22,0.444,,0.857,19.3,5.5,4.8,0.8,,
7,McCoy McLemore,28.0,3,17,2,6,,,1,2,,,8,3,,,,2,5,0.333,,0.5,5.7,1.7,2.7,1.0,,
8,Jeff Webb,22.0,3,5,1,1,,,0,0,,,0,0,,,,0,2,1.0,,,1.7,0.7,0.0,0.0,,
9,Dick Cunningham,24.0,4,24,0,5,,,0,1,,,9,0,,,,1,0,0.0,,0.0,6.0,0.0,2.3,0.0,,
10,Bob Greacen,23.0,2,4,0,3,,,0,0,,,1,0,,,,0,0,0.0,,,2.0,0.0,0.5,0.0,,
11,Marv Winkler,22.0,2,2,0,1,,,0,0,,,0,0,,,,0,0,0.0,,,1.0,0.0,0.0,0.0,,
12,Team Totals,,4,960,171,339,,,83,108,,,218,93,,,,84,425,0.504,,0.769,240.0,106.3,54.5,23.3,,
