,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Bill Bradley,29.0,5,199,40,90,,,13,14,,,24,17,,,,17,93,0.444,,0.929,39.8,18.6,4.8,3.4,,
1,Walt Frazier,27.0,5,230,35,73,,,13,20,,,34,26,,,,19,83,0.479,,0.65,46.0,16.6,6.8,5.2,,
2,Willis Reed,30.0,5,150,37,75,,,8,9,,,46,13,,,,22,82,0.493,,0.889,30.0,16.4,9.2,2.6,,
3,Earl Monroe,28.0,5,160,34,64,,,12,18,,,14,21,,,,13,80,0.531,,0.667,32.0,16.0,2.8,4.2,,
4,Dave DeBusschere,32.0,5,177,33,75,,,12,15,,,58,10,,,,21,78,0.44,,0.8,35.4,15.6,11.6,2.0,,
5,Phil Jackson,27.0,5,110,16,41,,,10,12,,,28,10,,,,19,42,0.39,,0.833,22.0,8.4,5.6,2.0,,
6,Jerry Lucas,32.0,5,92,17,42,,,4,5,,,23,14,,,,14,38,0.405,,0.8,18.4,7.6,4.6,2.8,,
7,Dean Meminger,24.0,5,77,2,4,,,1,3,,,5,7,,,,8,5,0.5,,0.333,15.4,1.0,1.0,1.4,,
8,Dick Barnett,36.0,1,3,1,2,,,0,0,,,0,0,,,,2,2,0.5,,,3.0,2.0,0.0,0.0,,
9,John Gianelli,22.0,2,2,0,2,,,0,0,,,0,0,,,,0,0,0.0,,,1.0,0.0,0.0,0.0,,
10,Team Totals,,5,1200,215,468,,,73,96,,,232,118,,,,135,503,0.459,,0.76,240.0,100.6,46.4,23.6,,
