,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,John Havlicek,33.0,7,330,72,168,,,41,47,11,43,54,33,13,0,,22,185,0.429,,0.872,47.1,26.4,7.7,4.7,1.9,0.0
1,Dave Cowens,25.0,7,305,69,157,,,21,28,20,49,69,32,8,2,,34,159,0.439,,0.75,43.6,22.7,9.9,4.6,1.1,0.3
2,Jo Jo White,27.0,7,318,53,115,,,10,16,10,17,27,49,11,0,,14,116,0.461,,0.625,45.4,16.6,3.9,7.0,1.6,0.0
3,Don Chaney,27.0,7,270,30,67,,,18,20,19,10,29,19,14,2,,29,78,0.448,,0.9,38.6,11.1,4.1,2.7,2.0,0.3
4,Paul Silas,30.0,7,245,16,45,,,15,18,18,49,67,22,8,1,,12,47,0.356,,0.833,35.0,6.7,9.6,3.1,1.1,0.1
5,Don Nelson,33.0,7,135,16,35,,,5,11,4,27,31,9,1,0,,14,37,0.457,,0.455,19.3,5.3,4.4,1.3,0.1,0.0
6,Paul Westphal,23.0,7,94,15,38,,,4,8,2,6,8,10,2,0,,16,34,0.395,,0.5,13.4,4.9,1.1,1.4,0.3,0.0
7,Hank Finkel,31.0,7,45,8,18,,,1,1,5,5,10,3,1,0,,9,17,0.444,,1.0,6.4,2.4,1.4,0.4,0.1,0.0
8,Phil Hankinson,22.0,1,1,1,1,,,0,0,0,0,0,0,0,0,,0,2,1.0,,,1.0,2.0,0.0,0.0,0.0,0.0
9,Art Williams,34.0,4,11,0,2,,,2,2,0,2,2,1,0,0,,3,2,0.0,,1.0,2.8,0.5,0.5,0.3,0.0,0.0
10,Steve Kuberski,26.0,1,1,0,1,,,0,0,0,0,0,0,0,0,,0,0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0
11,Team Totals,,7,1755,280,647,,,117,151,89,208,297,178,58,5,,153,677,0.433,,0.775,250.7,96.7,42.4,25.4,8.3,0.7
