,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Rick Barry,30.0,4,172,44,99,,,30,32,4,12,16,20,14,3,,12,118,0.444,,0.938,43.0,29.5,4.0,5.0,3.5,0.8
1,Jamaal Wilkes,21.0,4,107,18,56,,,10,12,13,26,39,4,7,3,,9,46,0.321,,0.833,26.8,11.5,9.8,1.0,1.8,0.8
2,Phil Smith,22.0,4,96,16,39,,,11,18,5,7,12,10,3,5,,13,43,0.41,,0.611,24.0,10.8,3.0,2.5,0.8,1.3
3,Derrek Dickey,23.0,4,74,17,23,,,1,1,4,19,23,3,2,0,,12,35,0.739,,1.0,18.5,8.8,5.8,0.8,0.5,0.0
4,Jeff Mullins,32.0,4,77,16,29,,,0,2,7,6,13,7,4,1,,8,32,0.552,,0.0,19.3,8.0,3.3,1.8,1.0,0.3
5,Charles Johnson,25.0,4,98,14,41,,,2,4,3,14,17,8,5,1,,10,30,0.341,,0.5,24.5,7.5,4.3,2.0,1.3,0.3
6,Butch Beard,27.0,4,75,10,26,,,9,17,1,12,13,8,8,0,,15,29,0.385,,0.529,18.8,7.3,3.3,2.0,2.0,0.0
7,Clifford Ray,26.0,4,119,13,21,,,2,8,15,25,40,12,5,6,,11,28,0.619,,0.25,29.8,7.0,10.0,3.0,1.3,1.5
8,George Johnson,26.0,4,73,11,17,,,4,4,16,14,30,5,1,11,,13,26,0.647,,1.0,18.3,6.5,7.5,1.3,0.3,2.8
9,Charles Dudley,24.0,4,35,2,8,,,3,4,1,4,5,5,1,1,,8,7,0.25,,0.75,8.8,1.8,1.3,1.3,0.3,0.3
10,Bill Bridges,35.0,4,31,2,6,,,0,0,3,4,7,0,4,1,,5,4,0.333,,,7.8,1.0,1.8,0.0,1.0,0.3
11,Steve Bracey,24.0,1,3,0,0,,,0,0,0,0,0,0,1,0,,0,0,,,,3.0,0.0,0.0,0.0,1.0,0.0
12,Team Totals,,4,960,163,365,,,72,102,72,143,215,82,55,32,,116,398,0.447,,0.706,240.0,99.5,53.8,20.5,13.8,8.0
