,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Jo Jo White,29.0,6,279,47,107,,,36,41,3,23,26,35,9,0,,19,130,0.439,,0.878,46.5,21.7,4.3,5.8,1.5,0.0
1,Dave Cowens,27.0,6,254,50,96,,,23,32,26,72,98,20,7,2,,28,123,0.521,,0.719,42.3,20.5,16.3,3.3,1.2,0.3
2,John Havlicek,35.0,6,246,35,91,,,23,30,11,22,33,27,2,3,,16,93,0.385,,0.767,41.0,15.5,5.5,4.5,0.3,0.5
3,Charlie Scott,27.0,6,191,33,95,,,21,24,13,23,36,20,12,2,,35,87,0.347,,0.875,31.8,14.5,6.0,3.3,2.0,0.3
4,Paul Silas,32.0,6,244,28,59,,,21,27,27,56,83,16,7,0,,21,77,0.475,,0.778,40.7,12.8,13.8,2.7,1.2,0.0
5,Steve Kuberski,28.0,6,82,11,27,,,11,11,6,15,21,4,0,1,,14,33,0.407,,1.0,13.7,5.5,3.5,0.7,0.0,0.2
6,Don Nelson,35.0,6,68,8,20,,,10,10,3,13,16,3,1,0,,12,26,0.4,,1.0,11.3,4.3,2.7,0.5,0.2,0.0
7,Jim Ard,27.0,5,60,8,15,,,8,10,3,8,11,5,0,2,,12,24,0.533,,0.8,12.0,4.8,2.2,1.0,0.0,0.4
8,Glenn McDonald,23.0,5,35,6,13,,,5,6,1,5,6,4,1,0,,8,17,0.462,,0.833,7.0,3.4,1.2,0.8,0.2,0.0
9,Kevin Stacom,24.0,5,54,3,9,,,3,5,3,2,5,6,2,0,,9,9,0.333,,0.6,10.8,1.8,1.0,1.2,0.4,0.0
10,Jerome Anderson,22.0,1,1,1,2,,,0,0,1,0,1,1,0,0,,0,2,0.5,,,1.0,2.0,1.0,1.0,0.0,0.0
11,Tom Boswell,22.0,1,1,1,2,,,0,0,0,1,1,0,0,0,,0,2,0.5,,,1.0,2.0,1.0,0.0,0.0,0.0
12,Team Totals,,6,1515,231,536,,,161,196,97,240,337,141,41,10,,174,623,0.431,,0.821,252.5,103.8,56.2,23.5,6.8,1.7
