,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Maurice Lucas,24.0,6,213,43,98,,,32,45,15,49,64,21,11,4,,27,118,0.439,,0.711,35.5,19.7,10.7,3.5,1.8,0.7
1,Bill Walton,24.0,6,226,48,88,,,15,19,23,91,114,31,6,22,,23,111,0.545,,0.789,37.7,18.5,19.0,5.2,1.0,3.7
2,Bob Gross,23.0,6,166,46,69,,,12,14,20,14,34,21,11,2,,26,104,0.667,,0.857,27.7,17.3,5.7,3.5,1.8,0.3
3,Lionel Hollins,23.0,6,208,38,98,,,20,31,6,9,15,23,9,2,,22,96,0.388,,0.645,34.7,16.0,2.5,3.8,1.5,0.3
4,Johnny Davis,21.0,6,196,24,56,,,16,20,7,13,20,30,11,0,,18,64,0.429,,0.8,32.7,10.7,3.3,5.0,1.8,0.0
5,Lloyd Neal,26.0,6,96,15,30,,,10,14,11,25,36,10,1,3,,15,40,0.5,,0.714,16.0,6.7,6.0,1.7,0.2,0.5
6,Dave Twardzik,26.0,6,97,13,28,,,14,22,0,8,8,9,6,1,,15,40,0.464,,0.636,16.2,6.7,1.3,1.5,1.0,0.2
7,Herm Gilliam,30.0,5,68,11,26,,,5,6,1,3,4,9,2,0,,9,27,0.423,,0.833,13.6,5.4,0.8,1.8,0.4,0.0
8,Corky Calhoun,26.0,6,65,10,19,,,2,3,4,6,10,3,3,2,,12,22,0.526,,0.667,10.8,3.7,1.7,0.5,0.5,0.3
9,Larry Steele,27.0,5,50,7,22,,,5,6,2,5,7,5,0,0,,9,19,0.318,,0.833,10.0,3.8,1.4,1.0,0.0,0.0
10,Wally Walker,22.0,3,20,9,12,,,1,2,0,0,0,2,3,0,,2,19,0.75,,0.5,6.7,6.3,0.0,0.7,1.0,0.0
11,Robin Jones,22.0,6,35,4,13,,,0,0,3,5,8,4,1,1,,4,8,0.308,,,5.8,1.3,1.3,0.7,0.2,0.2
12,Team Totals,,6,1440,268,559,,,132,182,92,228,320,168,64,37,,182,668,0.479,,0.725,240.0,111.3,53.3,28.0,10.7,6.2
