,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Elvin Hayes,32.0,7,276,61,127,,,23,35,33,50,83,10,11,14,15,31,145,0.48,,0.657,39.4,20.7,11.9,1.4,1.6,2.0
1,Bob Dandridge,30.0,7,284,59,131,,,25,38,13,36,49,29,7,7,23,30,143,0.45,,0.658,40.6,20.4,7.0,4.1,1.0,1.0
2,Kevin Grevey,24.0,7,173,35,94,,,21,29,10,12,22,11,1,3,12,24,91,0.372,,0.724,24.7,13.0,3.1,1.6,0.1,0.4
3,Tom Henderson,26.0,7,250,31,72,,,28,40,8,11,19,40,14,3,12,21,90,0.431,,0.7,35.7,12.9,2.7,5.7,2.0,0.4
4,Charles Johnson,28.0,7,156,34,86,,,7,10,9,9,18,18,11,0,8,14,75,0.395,,0.7,22.3,10.7,2.6,2.6,1.6,0.0
5,Mitch Kupchak,23.0,7,138,31,59,,,13,19,16,16,32,7,0,2,13,19,75,0.525,,0.684,19.7,10.7,4.6,1.0,0.0,0.3
6,Wes Unseld,31.0,7,270,26,50,,,11,20,25,57,82,27,4,1,7,25,63,0.52,,0.55,38.6,9.0,11.7,3.9,0.6,0.1
7,Larry Wright,23.0,7,79,10,33,,,5,5,2,5,7,10,2,0,5,14,25,0.303,,1.0,11.3,3.6,1.0,1.4,0.3,0.0
8,Greg Ballard,23.0,6,64,7,18,,,8,8,7,18,25,9,4,0,5,7,22,0.389,,1.0,10.7,3.7,4.2,1.5,0.7,0.0
9,Joe Pace,24.0,2,10,1,2,,,5,7,0,6,6,0,0,2,2,4,7,0.5,,0.714,5.0,3.5,3.0,0.0,0.0,1.0
10,Phil Walker,21.0,1,5,0,3,,,0,0,0,0,0,0,0,0,0,1,0,0.0,,,5.0,0.0,0.0,0.0,0.0,0.0
11,Team Totals,,7,1705,295,675,,,146,211,123,220,343,161,54,32,102,190,736,0.437,,0.692,243.6,105.1,49.0,23.0,7.7,4.6
