,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Gus Williams,25.0,5,183,57,114,,,31,49,10,8,18,18,5,3,15,8,145,0.5,,0.633,36.6,29.0,3.6,3.6,1.0,0.6
1,Dennis Johnson,24.0,5,224,45,98,,,23,32,9,21,30,30,9,11,15,19,113,0.459,,0.719,44.8,22.6,6.0,6.0,1.8,2.2
2,Jack Sikma,23.0,5,220,35,68,,,9,14,12,62,74,10,6,16,12,20,79,0.515,,0.643,44.0,15.8,14.8,2.0,1.2,3.2
3,John Johnson,31.0,5,196,22,52,,,14,20,13,29,42,35,6,0,14,14,58,0.423,,0.7,39.2,11.6,8.4,7.0,1.2,0.0
4,Fred Brown,30.0,5,79,20,41,,,6,7,1,5,6,11,5,3,5,7,46,0.488,,0.857,15.8,9.2,1.2,2.2,1.0,0.6
5,Lonnie Shelton,23.0,5,147,21,54,,,3,6,13,18,31,9,7,3,11,25,45,0.389,,0.5,29.4,9.0,6.2,1.8,1.4,0.6
6,Paul Silas,35.0,5,133,7,15,,,2,4,6,17,23,5,0,3,4,19,16,0.467,,0.5,26.6,3.2,4.6,1.0,0.0,0.6
7,Dennis Awtrey,30.0,4,12,1,2,,,0,0,0,1,1,0,0,0,0,3,2,0.5,,,3.0,0.5,0.3,0.0,0.0,0.0
8,Wally Walker,24.0,4,28,0,2,,,1,2,2,1,3,0,0,0,0,5,1,0.0,,0.5,7.0,0.3,0.8,0.0,0.0,0.0
9,Joe Hassett,23.0,2,3,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0.0,,,1.5,0.0,0.0,0.0,0.0,0.0
10,Team Totals,,5,1225,208,447,,,89,134,66,162,228,118,38,39,76,120,505,0.465,,0.664,245.0,101.0,45.6,23.6,7.6,7.8
