,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Jamaal Wilkes,28.0,6,234,50,115,0,1,18,24,19,16,35,17,9,0,19,21,118,0.435,0.0,0.75,39.0,19.7,5.8,2.8,1.5,0.0
1,Kareem Abdul-Jabbar,34.0,6,212,43,81,0,0,22,41,13,33,46,23,8,19,16,21,108,0.531,,0.537,35.3,18.0,7.7,3.8,1.3,3.2
2,Norm Nixon,26.0,6,236,45,102,0,1,16,22,10,12,22,60,10,1,15,20,106,0.441,0.0,0.727,39.3,17.7,3.7,10.0,1.7,0.2
3,Bob McAdoo,30.0,6,165,41,72,0,0,16,24,10,20,30,5,6,14,12,22,98,0.569,,0.667,27.5,16.3,5.0,0.8,1.0,2.3
4,Magic Johnson,22.0,6,250,32,60,0,3,33,39,20,45,65,48,15,2,26,23,97,0.533,0.0,0.846,41.7,16.2,10.8,8.0,2.5,0.3
5,Michael Cooper,25.0,6,162,32,57,1,2,15,20,9,19,28,22,8,2,14,20,80,0.561,0.5,0.75,27.0,13.3,4.7,3.7,1.3,0.3
6,Kurt Rambis,23.0,6,120,20,39,0,0,7,15,19,20,39,7,6,3,11,21,47,0.513,,0.467,20.0,7.8,6.5,1.2,1.0,0.5
7,Mike McGee,22.0,2,5,5,11,0,1,0,0,2,0,2,0,0,0,0,0,10,0.455,0.0,,2.5,5.0,1.0,0.0,0.0,0.0
8,Jim Brewer,30.0,2,5,2,2,0,0,0,0,1,0,1,0,0,1,0,0,4,1.0,,,2.5,2.0,0.5,0.0,0.0,0.5
9,Mark Landsberger,26.0,4,31,2,7,0,0,0,4,7,8,15,1,0,0,2,3,4,0.286,,0.0,7.8,1.0,3.8,0.3,0.0,0.0
10,Clay Johnson,25.0,3,15,1,3,0,0,0,0,0,1,1,0,1,0,0,2,2,0.333,,,5.0,0.7,0.3,0.0,0.3,0.0
11,Eddie Jordan,27.0,2,5,0,2,0,1,0,0,0,0,0,5,1,0,1,0,0,0.0,0.0,,2.5,0.0,0.0,2.5,0.5,0.0
12,Team Totals,,6,1440,273,551,1,9,127,189,110,174,284,188,64,42,116,153,674,0.495,0.111,0.672,240.0,112.3,47.3,31.3,10.7,7.0
