,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Kareem Abdul-Jabbar,37.0,6,213,67,111,0,0,20,26,17,37,54,31,6,9,17,27,154,0.604,,0.769,35.5,25.7,9.0,5.2,1.0,1.5
1,James Worthy,23.0,6,234,57,101,0,1,28,40,10,17,27,19,3,3,8,14,142,0.564,0.0,0.7,39.0,23.7,4.5,3.2,0.5,0.5
2,Magic Johnson,25.0,6,235,41,83,1,2,27,31,3,38,41,84,13,0,20,16,110,0.494,0.5,0.871,39.2,18.3,6.8,14.0,2.2,0.0
3,Byron Scott,23.0,6,208,30,76,2,7,5,9,6,16,22,13,15,1,8,14,67,0.395,0.286,0.556,34.7,11.2,3.7,2.2,2.5,0.2
4,Michael Cooper,28.0,6,153,20,34,2,7,19,21,0,12,12,22,7,2,2,16,61,0.588,0.286,0.905,25.5,10.2,2.0,3.7,1.2,0.3
5,Bob McAdoo,33.0,6,117,22,58,0,0,5,7,3,15,18,5,0,3,10,22,49,0.379,,0.714,19.5,8.2,3.0,0.8,0.0,0.5
6,Kurt Rambis,26.0,6,132,19,38,0,0,7,13,16,35,51,5,8,3,5,14,45,0.5,,0.538,22.0,7.5,8.5,0.8,1.3,0.5
7,Mitch Kupchak,30.0,6,87,11,20,0,1,9,14,6,14,20,4,1,1,0,19,31,0.55,0.0,0.643,14.5,5.2,3.3,0.7,0.2,0.2
8,Mike McGee,25.0,4,26,5,10,3,5,6,9,1,3,4,2,0,0,1,5,19,0.5,0.6,0.667,6.5,4.8,1.0,0.5,0.0,0.0
9,Larry Spriggs,25.0,4,27,6,10,0,0,2,4,4,3,7,6,1,1,3,4,14,0.6,,0.5,6.8,3.5,1.8,1.5,0.3,0.3
10,Ronnie Lester,26.0,2,6,0,2,0,0,2,2,0,0,0,1,0,0,1,1,2,0.0,,1.0,3.0,1.0,0.0,0.5,0.0,0.0
11,Chuck Nevitt,25.0,1,2,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,,,0.5,2.0,1.0,0.0,0.0,1.0,1.0
12,Team Totals,,6,1440,278,543,8,23,131,178,66,190,256,192,55,24,75,152,695,0.512,0.348,0.736,240.0,115.8,42.7,32.0,9.2,4.0
