,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Kevin McHale,28.0,6,241,59,103,0,0,37,46,22,29,51,10,5,15,20,20,155,0.573,,0.804,40.2,25.8,8.5,1.7,0.8,2.5
1,Larry Bird,29.0,6,269,53,110,7,19,31,33,10,48,58,57,16,2,16,17,144,0.482,0.368,0.939,44.8,24.0,9.7,9.5,2.7,0.3
2,Dennis Johnson,31.0,6,257,34,81,2,7,32,39,11,26,37,32,12,2,19,15,102,0.42,0.286,0.821,42.8,17.0,6.2,5.3,2.0,0.3
3,Danny Ainge,26.0,6,213,35,63,3,6,14,17,5,16,21,33,15,1,14,23,87,0.556,0.5,0.824,35.5,14.5,3.5,5.5,2.5,0.2
4,Robert Parish,32.0,6,191,33,79,0,0,10,20,16,25,41,6,3,13,14,9,76,0.418,,0.5,31.8,12.7,6.8,1.0,0.5,2.2
5,Bill Walton,33.0,6,117,23,37,0,0,2,4,13,27,40,10,3,4,6,17,48,0.622,,0.5,19.5,8.0,6.7,1.7,0.5,0.7
6,Jerry Sichting,29.0,6,85,9,20,0,1,0,1,1,4,5,10,0,0,2,6,18,0.45,0.0,0.0,14.2,3.0,0.8,1.7,0.0,0.0
7,Rick Carlisle,26.0,3,8,3,3,0,0,0,0,0,0,0,3,0,0,0,1,6,1.0,,,2.7,2.0,0.0,1.0,0.0,0.0
8,Greg Kite,24.0,6,30,2,2,0,0,2,2,2,4,6,2,1,1,1,10,6,1.0,,1.0,5.0,1.0,1.0,0.3,0.2,0.2
9,Sam Vincent,22.0,4,12,2,11,0,0,0,0,1,2,3,0,2,0,1,4,4,0.182,,,3.0,1.0,0.8,0.0,0.5,0.0
10,David Thirdkill,25.0,5,15,1,5,0,1,1,2,1,1,2,1,2,0,2,2,3,0.2,0.0,0.5,3.0,0.6,0.4,0.2,0.4,0.0
11,Scott Wedman,33.0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0
12,Team Totals,,6,1440,254,515,12,34,129,164,82,182,264,164,59,38,95,124,649,0.493,0.353,0.787,240.0,108.2,44.0,27.3,9.8,6.3
