,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,James Worthy,26.0,7,266,59,120,0,2,36,49,19,33,52,31,5,4,18,18,154,0.492,0.0,0.735,38.0,22.0,7.4,4.4,0.7,0.6
1,Magic Johnson,28.0,7,290,44,80,2,6,58,67,6,34,40,91,14,1,19,23,148,0.55,0.333,0.866,41.4,21.1,5.7,13.0,2.0,0.1
2,Byron Scott,26.0,7,281,50,105,5,11,27,35,8,26,34,14,7,3,15,21,132,0.476,0.455,0.771,40.1,18.9,4.9,2.0,1.0,0.4
3,Kareem Abdul-Jabbar,40.0,7,207,36,87,0,0,20,28,8,21,29,7,4,8,14,22,92,0.414,,0.714,29.6,13.1,4.1,1.0,0.6,1.1
4,A.C. Green,24.0,7,242,24,43,0,0,22,30,16,45,61,4,3,0,9,22,70,0.558,,0.733,34.6,10.0,8.7,0.6,0.4,0.0
5,Mychal Thompson,33.0,7,151,21,42,0,0,7,17,9,16,25,2,0,3,10,15,49,0.5,,0.412,21.6,7.0,3.6,0.3,0.0,0.4
6,Michael Cooper,31.0,7,176,9,44,3,20,5,8,3,8,11,15,6,2,4,22,26,0.205,0.15,0.625,25.1,3.7,1.6,2.1,0.9,0.3
7,Tony Campbell,25.0,2,14,2,3,0,0,4,4,1,0,1,1,0,0,1,4,8,0.667,,1.0,7.0,4.0,0.5,0.5,0.0,0.0
8,Wes Matthews,28.0,4,9,1,3,0,1,4,4,0,0,0,0,1,0,1,1,6,0.333,0.0,1.0,2.3,1.5,0.0,0.0,0.3,0.0
9,Kurt Rambis,29.0,5,33,2,3,0,0,2,5,2,6,8,0,1,0,1,6,6,0.667,,0.4,6.6,1.2,1.6,0.0,0.2,0.0
10,Mike Smrek,25.0,2,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,,,,3.0,0.0,1.0,0.0,0.0,0.0
11,Milt Wagner,24.0,2,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,,2.5,0.0,0.0,0.5,0.0,0.0
12,Team Totals,,7,1680,248,531,10,40,185,247,72,191,263,166,41,21,92,154,691,0.467,0.25,0.749,240.0,98.7,37.6,23.7,5.9,3.0
