,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Joe Dumars,25.0,4,147,38,66,0,2,33,38,1,6,7,24,2,1,7,4,109,0.576,0.0,0.868,36.8,27.3,1.8,6.0,0.5,0.3
1,Isiah Thomas,27.0,4,141,32,66,2,6,19,25,2,8,10,29,6,1,10,13,85,0.485,0.333,0.76,35.3,21.3,2.5,7.3,1.5,0.3
2,Vinnie Johnson,32.0,4,95,30,50,1,5,7,11,3,10,13,11,0,1,2,9,68,0.6,0.2,0.636,23.8,17.0,3.3,2.8,0.0,0.3
3,James Edwards,33.0,4,97,12,27,0,0,12,16,6,8,14,3,0,3,3,16,36,0.444,,0.75,24.3,9.0,3.5,0.8,0.0,0.8
4,Bill Laimbeer,31.0,4,94,12,22,2,3,6,7,3,18,21,9,2,0,3,15,32,0.545,0.667,0.857,23.5,8.0,5.3,2.3,0.5,0.0
5,Mark Aguirre,29.0,4,107,12,33,0,3,6,8,9,15,24,6,2,0,8,13,30,0.364,0.0,0.75,26.8,7.5,6.0,1.5,0.5,0.0
6,John Salley,24.0,4,81,13,19,0,0,4,7,2,8,10,5,1,11,2,14,30,0.684,,0.571,20.3,7.5,2.5,1.3,0.3,2.8
7,Rick Mahorn,30.0,4,98,10,18,0,0,4,6,6,15,21,4,1,3,1,17,24,0.556,,0.667,24.5,6.0,5.3,1.0,0.3,0.8
8,Dennis Rodman,27.0,4,94,7,15,0,1,6,7,13,27,40,5,2,1,9,12,20,0.467,0.0,0.857,23.5,5.0,10.0,1.3,0.5,0.3
9,John Long,32.0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,,2.0,2.0,0.0,0.0,0.0,0.0
10,Fennis Dembo,23.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
11,Micheal Williams,22.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,2.0,0.0,0.0,1.0,0.0,0.0
12,Team Totals,,4,960,167,317,5,20,97,125,45,115,160,97,16,21,45,115,436,0.527,0.25,0.776,240.0,109.0,40.0,24.3,4.0,5.3
