,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Isiah Thomas,28.0,5,192,52,96,11,16,23,31,8,18,26,35,8,2,25,19,138,0.542,0.688,0.742,38.4,27.6,5.2,7.0,1.6,0.4
1,Joe Dumars,26.0,5,210,34,82,2,7,33,37,5,9,14,28,4,0,18,11,103,0.415,0.286,0.892,42.0,20.6,2.8,5.6,0.8,0.0
2,James Edwards,34.0,5,138,29,65,0,1,14,25,8,11,19,4,2,3,5,20,72,0.446,0.0,0.56,27.6,14.4,3.8,0.8,0.4,0.6
3,Bill Laimbeer,32.0,5,191,24,54,8,22,10,10,12,55,67,12,7,3,1,25,66,0.444,0.364,1.0,38.2,13.2,13.4,2.4,1.4,0.6
4,Vinnie Johnson,33.0,5,113,25,46,0,1,11,14,7,3,10,6,1,3,8,11,61,0.543,0.0,0.786,22.6,12.2,2.0,1.2,0.2,0.6
5,Mark Aguirre,30.0,5,120,15,45,4,8,14,21,6,12,18,4,2,0,6,12,48,0.333,0.5,0.667,24.0,9.6,3.6,0.8,0.4,0.0
6,John Salley,25.0,5,143,12,32,0,0,9,13,18,14,32,2,1,12,4,18,33,0.375,,0.692,28.6,6.6,6.4,0.4,0.2,2.4
7,Dennis Rodman,28.0,4,79,4,9,0,0,1,4,6,16,22,3,2,2,6,13,9,0.444,,0.25,19.8,2.3,5.5,0.8,0.5,0.5
8,Dave Greenwood,32.0,3,33,1,3,0,0,1,2,2,7,9,0,1,0,2,8,3,0.333,,0.5,11.0,1.0,3.0,0.0,0.3,0.0
9,Gerald Henderson,34.0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0
10,Scott Hastings,29.0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
11,Team Totals,,5,1225,197,434,25,56,116,157,72,145,217,94,28,25,75,138,535,0.454,0.446,0.739,245.0,107.0,43.4,18.8,5.6,5.0
