,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Michael Jordan,27.0,5,220,63,113,2,4,28,33,8,25,33,57,14,7,18,18,156,0.558,0.5,0.848,44.0,31.2,6.6,11.4,2.8,1.4
1,Scottie Pippen,25.0,5,218,39,86,1,5,25,29,15,32,47,33,12,5,20,22,104,0.453,0.2,0.862,43.6,20.8,9.4,6.6,2.4,1.0
2,Horace Grant,25.0,5,198,32,51,0,0,9,12,14,25,39,8,8,3,9,9,73,0.627,,0.75,39.6,14.6,7.8,1.6,1.6,0.6
3,John Paxson,30.0,5,159,32,49,1,4,2,2,2,8,10,17,5,0,2,9,67,0.653,0.25,1.0,31.8,13.4,2.0,3.4,1.0,0.0
4,Bill Cartwright,33.0,5,160,20,46,0,0,4,6,5,20,25,12,3,3,6,14,44,0.435,,0.667,32.0,8.8,5.0,2.4,0.6,0.6
5,Craig Hodges,30.0,5,53,9,23,1,6,0,0,0,3,3,1,0,0,2,4,19,0.391,0.167,,10.6,3.8,0.6,0.2,0.0,0.0
6,Cliff Levingston,30.0,5,90,8,13,0,0,0,0,5,9,14,3,5,5,1,12,16,0.615,,,18.0,3.2,2.8,0.6,1.0,1.0
7,B.J. Armstrong,23.0,5,37,5,11,0,1,0,0,1,2,3,4,2,0,1,2,10,0.455,0.0,,7.4,2.0,0.6,0.8,0.4,0.0
8,Will Perdue,25.0,5,37,3,5,0,0,2,2,3,9,12,1,0,1,2,6,8,0.6,,1.0,7.4,1.6,2.4,0.2,0.0,0.2
9,Scott Williams,22.0,4,45,2,4,0,0,4,6,2,7,9,3,0,1,1,9,8,0.5,,0.667,11.3,2.0,2.3,0.8,0.0,0.3
10,Stacey King,24.0,2,6,0,3,0,1,2,2,0,1,1,0,0,0,1,2,2,0.0,0.0,1.0,3.0,1.0,0.5,0.0,0.0,0.0
11,Dennis Hopson,25.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
12,Team Totals,,5,1225,213,404,5,21,76,92,55,141,196,139,49,25,63,107,507,0.527,0.238,0.826,245.0,101.4,39.2,27.8,9.8,5.0
