,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Michael Jordan,28.0,6,254,81,154,12,28,41,46,6,23,29,39,10,2,24,21,215,0.526,0.429,0.891,42.3,35.8,4.8,6.5,1.7,0.3
1,Scottie Pippen,26.0,6,244,45,93,2,9,33,42,17,33,50,46,9,4,23,21,125,0.484,0.222,0.786,40.7,20.8,8.3,7.7,1.5,0.7
2,John Paxson,31.0,6,185,26,50,7,18,3,4,0,5,5,16,8,0,6,15,62,0.52,0.389,0.75,30.8,10.3,0.8,2.7,1.3,0.0
3,Horace Grant,26.0,6,227,23,41,0,1,9,17,7,40,47,24,5,14,5,20,55,0.561,0.0,0.529,37.8,9.2,7.8,4.0,0.8,2.3
4,Bill Cartwright,34.0,6,151,16,32,0,0,6,12,7,17,24,9,3,1,12,21,38,0.5,,0.5,25.2,6.3,4.0,1.5,0.5,0.2
5,B.J. Armstrong,24.0,6,107,15,35,1,4,4,7,1,4,5,14,2,0,9,12,35,0.429,0.25,0.571,17.8,5.8,0.8,2.3,0.3,0.0
6,Scott Williams,23.0,6,128,13,24,0,0,7,9,12,25,37,6,1,8,4,21,33,0.542,,0.778,21.3,5.5,6.2,1.0,0.2,1.3
7,Cliff Levingston,31.0,6,65,9,20,0,1,5,10,6,7,13,4,1,1,1,7,23,0.45,0.0,0.5,10.8,3.8,2.2,0.7,0.2,0.2
8,Stacey King,25.0,4,48,5,15,0,0,8,12,3,7,10,0,1,1,3,7,18,0.333,,0.667,12.0,4.5,2.5,0.0,0.3,0.3
9,Bob Hansen,31.0,5,40,6,10,3,4,1,2,1,1,2,3,1,0,1,6,16,0.6,0.75,0.5,8.0,3.2,0.4,0.6,0.2,0.0
10,Craig Hodges,31.0,2,6,1,1,0,0,0,0,0,0,0,0,1,0,2,1,2,1.0,,,3.0,1.0,0.0,0.0,0.5,0.0
11,Will Perdue,26.0,3,10,1,3,0,0,0,2,1,2,3,0,0,0,0,3,2,0.333,,0.0,3.3,0.7,1.0,0.0,0.0,0.0
12,Team Totals,,6,1465,241,478,25,65,117,163,61,164,225,161,42,31,90,155,624,0.504,0.385,0.718,244.2,104.0,37.5,26.8,7.0,5.2
