,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Michael Jordan,29.0,6,274,101,199,10,25,34,49,15,36,51,38,10,4,16,20,246,0.508,0.4,0.694,45.7,41.0,8.5,6.3,1.7,0.7
1,Scottie Pippen,27.0,6,266,54,123,0,6,19,35,16,39,55,46,12,6,26,19,127,0.439,0.0,0.543,44.3,21.2,9.2,7.7,2.0,1.0
2,B.J. Armstrong,25.0,6,251,32,63,10,19,7,7,2,9,11,30,5,1,5,21,81,0.508,0.526,1.0,41.8,13.5,1.8,5.0,0.8,0.2
3,Horace Grant,27.0,6,233,28,53,0,0,11,19,25,37,62,14,9,9,5,24,67,0.528,,0.579,38.8,11.2,10.3,2.3,1.5,1.5
4,John Paxson,32.0,6,96,13,21,9,14,0,0,4,5,9,5,3,1,1,10,35,0.619,0.643,,16.0,5.8,1.5,0.8,0.5,0.2
5,Scott Williams,24.0,6,159,13,32,0,0,2,7,12,26,38,10,3,9,8,19,28,0.406,,0.286,26.5,4.7,6.3,1.7,0.5,1.5
6,Bill Cartwright,35.0,6,128,12,30,0,0,2,4,7,12,19,10,3,1,2,15,26,0.4,,0.5,21.3,4.3,3.2,1.7,0.5,0.2
7,Trent Tucker,33.0,6,41,7,10,3,5,0,0,1,1,2,4,1,0,1,5,17,0.7,0.6,,6.8,2.8,0.3,0.7,0.2,0.0
8,Stacey King,26.0,6,49,3,11,0,0,7,8,3,5,8,3,2,1,5,6,13,0.273,,0.875,8.2,2.2,1.3,0.5,0.3,0.2
9,Rodney McCray,31.0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,,,4.0,0.0,1.0,0.0,0.0,0.0
10,Will Perdue,27.0,1,9,0,2,0,0,0,0,1,2,3,0,0,0,0,2,0,0.0,,,9.0,0.0,3.0,0.0,0.0,0.0
11,Darrell Walker,31.0,3,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,,,0.0,1.7,0.0,0.0,0.3,0.0,0.0
12,Team Totals,,6,1515,263,544,32,69,82,130,86,173,259,161,48,32,71,141,640,0.483,0.464,0.631,252.5,106.7,43.2,26.8,8.0,5.3
