,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Hakeem Olajuwon,31.0,7,302,75,150,1,1,37,43,13,51,64,25,11,27,25,26,188,0.5,1.0,0.86,43.1,26.9,9.1,3.6,1.6,3.9
1,Vernon Maxwell,28.0,7,264,35,96,9,40,15,22,3,20,23,20,4,0,21,12,94,0.365,0.225,0.682,37.7,13.4,3.3,2.9,0.6,0.0
2,Robert Horry,23.0,7,265,24,74,11,36,13,21,13,30,43,26,9,4,10,24,72,0.324,0.306,0.619,37.9,10.3,6.1,3.7,1.3,0.6
3,Sam Cassell,24.0,7,158,19,45,7,16,25,27,6,16,22,20,9,2,18,22,70,0.422,0.438,0.926,22.6,10.0,3.1,2.9,1.3,0.3
4,Otis Thorpe,31.0,7,277,27,52,0,0,11,22,23,56,79,23,6,0,8,23,65,0.519,,0.5,39.6,9.3,11.3,3.3,0.9,0.0
5,Carl Herrera,27.0,7,121,22,38,0,0,6,8,8,17,25,3,3,1,6,21,50,0.579,,0.75,17.3,7.1,3.6,0.4,0.4,0.1
6,Kenny Smith,28.0,7,178,14,36,5,14,6,6,2,8,10,22,5,0,14,8,39,0.389,0.357,1.0,25.4,5.6,1.4,3.1,0.7,0.0
7,Mario Elie,30.0,7,79,5,20,2,5,5,6,3,4,7,7,2,1,5,7,17,0.25,0.4,0.833,11.3,2.4,1.0,1.0,0.3,0.1
8,Matt Bullard,26.0,2,27,2,10,2,7,2,4,2,4,6,0,1,1,0,3,8,0.2,0.286,0.5,13.5,4.0,3.0,0.0,0.5,0.5
9,Earl Cureton,36.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
10,Chris Jent,24.0,3,7,0,2,0,2,0,0,0,1,1,0,0,0,1,3,0,0.0,0.0,,2.3,0.0,0.3,0.0,0.0,0.0
11,Team Totals,,7,1680,223,523,37,121,120,159,73,207,280,146,50,36,108,149,603,0.426,0.306,0.755,240.0,86.1,40.0,20.9,7.1,5.1
